Pregunta,Intencion,clean_txt
como renuevo la tarjeta de credito,Cat_316,como renuevo la tarjeta de credito
perdi tarjeta encontrar consumo hacer,Cat_112,perdi tarjeta encontrar consumo hacer
quiero cerrar el home banking,Cat_0,quiero cerrar el home banking
y para aumentar el límite en a tarjeta como hago?,Cat_302,y para aumentar el limite en a tarjeta como hago
consultar medio pago habilitar pagar tarjeta,Cat_342,consultar medio pago habilitar pagar tarjeta
cuanto se tarda de en habilitar la tarjeta después de haber pagado lo mínimo,Cat_279,cuanto se tarda de en habilitar la tarjeta despues de haber pagado lo minimo
no puedo ingresar a los fondos comunes de inversion,Cat_172,no puedo ingresar a los fondos comunes de inversion
necesito el saldo al 31/12/18,Cat_67,necesito el saldo al number number number
puedo extender el vencimiento de la cuota del prestamo hipotecario?,Cat_240,puedo extender el vencimiento de la cuota del prestamo hipotecario
querer retirar tarjeta credito,Cat_293,querer retirar tarjeta credito
la tarjeja de devito se rompió como ago ?,Cat_316,la tarjeja de devito se rompio como ago
puedo vender la propiedad antes de pagar todo el préstamo hipotecario?,Cat_260,puedo vender la propiedad antes de pagar todo el prestamo hipotecario
¿cada cuanto pagan los bonos?,Cat_158,cada cuanto pagan los bonos
no me debitaron el pago de la tarjeta santander  credito,Cat_346,no me debitaron el pago de la tarjeta santander credito
puedo pedir más plata de la preaprobada?,Cat_209,puedo pedir mas plata de la preaprobada
x donde puedo mirar el listado de sucursales ??,Cat_91,x donde puedo mirar el listado de sucursales
como puedo hacer una simulación,Cat_251,como puedo hacer una simulacion
no encuentrola confirmacion de la orden de compra,Cat_167,no encuentrola confirmacion de la orden de compra
me toman una queja?,Cat_133,me toman una queja
se venció mi tarjeta de ccredito y no llegue el reemplazo. como hago para pedirla?,Cat_316,se vencio mi tarjeta de ccredito y no llegue el reemplazo como hago para pedirla
ultimo movimiento tarjeta de credito,Cat_355,ultimo movimiento tarjeta de credito
no se debito un pago de servicio,Cat_129,no se debito un pago de servicio
hasta cuanta plata puedo pedir para comprar otra casa?,Cat_236,hasta cuanta plata puedo pedir para comprar otra casa
quiero saber si tengo disponible el descuento del en pasajes,Cat_311,quiero saber si tengo disponible el descuento del en pasajes
no acepto que el monto de mi póliza de vida sea cargado a mi tajeta de credito visa,Cat_269,no acepto que el monto de mi poliza de vida sea cargado a mi tajeta de credito visa
no puedo generar mi nueva clave para operar con home banking,Cat_1,no puedo generar mi nueva clave para operar con home banking
monotributo adhesión debito por caja de ahorro,Cat_132,monotributo adhesion debito por caja de ahorro
te puedo dar mi dni para saber si puedo sacar un credito,Cat_248,te puedo dar mi dni para saber si puedo sacar un credito
cuanto sale assist card?,Cat_282,cuanto sale assist card
quiero cuotificar un consumo en la tarjeta de credito,Cat_308,quiero cuotificar un consumo en la tarjeta de credito
como reinvierto mis bonos,Cat_162,como reinvierto mis bonos
como hago para pagar mi cuota mensual de prestamo hipotecario?,Cat_239,como hago para pagar mi cuota mensual de prestamo hipotecario
cuando es la licitación de lebacs,Cat_156,cuando es la licitacion de lebacs
como se ajustan los creditos uva para autos,Cat_219,como se ajustan los creditos uva para autos
viajare a europa en unos dias y queria saber si seguia vigente el seguro de salud gratuito que incluia,Cat_282,viajare a europa en unos dias y queria saber si seguia vigente el seguro de salud gratuito que incluia
telefono para comunicarme con visa,Cat_147,telefono para comunicarme con visa
me decís que te piden para abrir una nueva cuenta?,Cat_39,me decis que te piden para abrir una nueva cuenta
reclamo por el cobro de la renovacion,Cat_97,reclamo por el cobro de la renovacion
cómo sacan el valor de la propiedad para la financiación?,Cat_217,como sacan el valor de la propiedad para la financiacion
tenes algún nro de telefono directo de la sucursal?,Cat_91,tenes algun nro de telefono directo de la sucursal
quiero darle stop debit a mi celular,Cat_145,quiero darle stop debit a mi celular
presentar recibo sueldo tarjeta,Cat_337,presentar recibo sueldo tarjeta
como es la cobertura por robo en cajeros?,Cat_261,como es la cobertura por robo en cajeros
no puedo registrarme y obtener la clave,Cat_1,no puedo registrarme y obtener la clave
queria saber resumir descontar,Cat_115,queria saber resumir descontar
atraso pago saldarlo,Cat_191,atraso pago saldarlo
cuanto tenía preacordado,Cat_223,cuanto tenia preacordado
como es el tema del seguro de vida del préstamo?,Cat_250,como es el tema del seguro de vida del prestamo
ya pague la tarjeta santander y me sigue saliendo deuda pendiente xq?,Cat_279,ya pague la tarjeta santander y me sigue saliendo deuda pendiente xq
me podran enviar una nueva chequera?,Cat_44,me podran enviar una nueva chequera
cuando m fijo el numero de cuenta y cbu para que me realicen una transferencia en dolares. m doy cuenta que es el mismo numero en ambas cuentas. esta bien esto?,Cat_42,cuando m fijo el numero de cuenta y cbu para que me realicen una transferencia en dolares m doy cuenta que es el mismo numero en ambas cuentas esta bien esto
que tiene que ver la inflacion con la cuota del préstamo?,Cat_219,que tiene que ver la inflacion con la cuota del prestamo
quien es un cliente selec,Cat_142,quien es un cliente selec
cómo obtengo woman,Cat_357,como obtengo woman
no confirme que queria adquirir su seguro de vida no acepte nada por otro medio.,Cat_264,no confirme que queria adquirir su seguro de vida no acepte nada por otro medio
aun no llegaron mis tarjetas  solo llegaron las adicionales,Cat_293,aun no llegaron mis tarjetas solo llegaron las adicionales
quiero recibir información sobre el programa de puesta en marcha y expansión para emprendedoras,Cat_357,quiero recibir informacion sobre el programa de puesta en marcha y expansion para emprendedoras
no quiero seguir renovando el pf,Cat_180,no quiero seguir renovando el pf
quiero pagar la tarjeta visa,Cat_342,quiero pagar la tarjeta visa
mi consulta es si el banco santander atiende normalmente mañana?,Cat_114,mi consulta es si el banco santander atiende normalmente manana
solicitar reimpresión de mi tarjeta de debito porque la que tengo está vencida,Cat_316,solicitar reimpresion de mi tarjeta de debito porque la que tengo esta vencida
saber el saldo adeudado,Cat_99,saber el saldo adeudado
me puedo dar de alta en club la nacion desde acá?,Cat_280,me puedo dar de alta en club la nacion desde aca
me pasas el telefono de contacto?,Cat_147,me pasas el telefono de contacto
que antiguedad laboral necesito para gestionar un ccredito santander,Cat_248,que antiguedad laboral necesito para gestionar un ccredito santander
quiero saber a q tarjeta corresponde mi cuenta santander,Cat_75,quiero saber a q tarjeta corresponde mi cuenta santander
algun telefono para llamar?,Cat_147,algun telefono para llamar
necesito hacer una consulta y por telefono no me atiende operador,Cat_127,necesito hacer una consulta y por telefono no me atiende operador
se puede poner la patente del auto en debito,Cat_132,se puede poner la patente del auto en debito
cambiar la clave de letra,Cat_288,cambiar la clave de letra
interés suma pago atrasado tarjeta,Cat_349,interes suma pago atrasado tarjeta
la preventa es solo para clientes select?,Cat_311,la preventa es solo para clientes select
queria saver si mi vehiculo esta asegurado,Cat_271,queria saver si mi vehiculo esta asegurado
no está en el sistema la licitación de lebacs,Cat_160,no esta en el sistema la licitacion de lebacs
necesito saber la lista de concesionarios,Cat_223,necesito saber la lista de concesionarios
en que momento se acredita el dinero del prestamo prendario?,Cat_226,en que momento se acredita el dinero del prestamo prendario
necesito saber que requisitos debo cumplir para acceder al credito del procrear a traves del banco rio,Cat_248,necesito saber que requisitos debo cumplir para acceder al credito del procrear a traves del banco rio
querer averiguar hacer cerrar cuenta,Cat_41,querer averiguar hacer cerrar cuenta
quisiera saber si cuando se vence la tarjeta de débito la nueva tarjeta se envía al domicilio del titular o hay que retirarla,Cat_316,quisiera saber si cuando se vence la tarjeta de debito la nueva tarjeta se envia al domicilio del titular o hay que retirarla
necesito dar de baja las cuentas,Cat_41,necesito dar de baja las cuentas
costo extración cajero automatico,Cat_96,costo extracion cajero automatico
estaba pensando sacar un prestamo,Cat_225,estaba pensando sacar un prestamo
quiero tramitar la baja de la cuenta de mi hijo,Cat_41,quiero tramitar la baja de la cuenta de mi hijo
puedo definir un monto límite para el pago de un servicio por debito automatico?,Cat_106,puedo definir un monto limite para el pago de un servicio por debito automatico
necesito desconocer un pago qe se hizo desde mi tarjeta,Cat_112,necesito desconocer un pago qe se hizo desde mi tarjeta
quiero pagar la luz. puedo hacerlo por pago mis cuentas?,Cat_132,quiero pagar la luz puedo hacerlo por pago mis cuentas
adhesion servicio debitar necesitar ayudar,Cat_132,adhesion servicio debitar necesitar ayudar
saber saldo tarjeta,Cat_303,saber saldo tarjeta
pedir me desbloqueen en visa home,Cat_356,pedir me desbloqueen en visa home
los prestamos hipotecarios sirven para amplaición de vivienda?,Cat_228,los prestamos hipotecarios sirven para amplaicion de vivienda
como se utiliza la opcion envio de efectivo,Cat_295,como se utiliza la opcion envio de efectivo
telefono superlinea,Cat_147,telefono superlinea
las transferencias son inmediatas?,Cat_77,las transferencias son inmediatas
quiero consultar por un prestamo personal.,Cat_225,quiero consultar por un prestamo personal
cuanto estoy pagando el seguro?,Cat_269,cuanto estoy pagando el seguro
quiera averiguar para hacer la suscripción de carboclor,Cat_151,quiera averiguar para hacer la suscripcion de carboclor
necesito saber como denunciar que un cajero no me entrego el dinero y se me desconto de la cuenta,Cat_297,necesito saber como denunciar que un cajero no me entrego el dinero y se me desconto de la cuenta
a los que trabajan en la municipalidad dan prestamos,Cat_248,a los que trabajan en la municipalidad dan prestamos
en caso de aumento de la inflacion  esta previsto la extension de plazo del prestamo hipotecario?,Cat_230,en caso de aumento de la inflacion esta previsto la extension de plazo del prestamo hipotecario
como ingreso a mi cuenta,Cat_3,como ingreso a mi cuenta
donde puedo encontrar dentro de home banking servicios afip,Cat_95,donde puedo encontrar dentro de home banking servicios afip
como saber estar reimpresión,Cat_293,como saber estar reimpresion
quiero saber si se me acreditó un cheque,Cat_50,quiero saber si se me acredito un cheque
por donde solicitar el codigo swift,Cat_34,por donde solicitar el codigo swift
crear clave numerica visa,Cat_288,crear clave numerica visa
me rechazan una transferencia a mi cuenta sueldo,Cat_80,me rechazan una transferencia a mi cuenta sueldo
cargar sube,Cat_132,cargar sube
porcentaje interes descubierto,Cat_56,porcentaje interes descubierto
tengo un sueldo que no supero los pesos y una antiguedad aaños  puedo pedir un préstamo hipotecario?,Cat_249,tengo un sueldo que no supero los pesos y una antiguedad aanos puedo pedir un prestamo hipotecario
me gustaria saber sobre prestamos personal .soy empleada publica con un ingreso de pesos.,Cat_225,me gustaria saber sobre prestamos personal soy empleada publica con un ingreso de pesos
que es el pago mínimo?,Cat_351,que es el pago minimo
que debo llevar a la sucursal para abrir una caja de ahorros?,Cat_39,que debo llevar a la sucursal para abrir una caja de ahorros
se puede incrementar un préstamo?,Cat_196,se puede incrementar un prestamo
quiero hacer un stop debit de un servicio adherido a mi tarjeta,Cat_145,quiero hacer un stop debit de un servicio adherido a mi tarjeta
como veo mi saldo?,Cat_50,como veo mi saldo
que tarjetas aplican para ser select?,Cat_142,que tarjetas aplican para ser select
consulta de resumen. pagos,Cat_138,consulta de resumen pagos
como hago para cargar credito a un celular,Cat_132,como hago para cargar credito a un celular
pagar afip hombanking,Cat_132,pagar afip hombanking
como hago enví¬≠o de efectivo por cajero,Cat_295,como hago envi¬=o de efectivo por cajero
necesito un prestamo hipotecario de quiero asesoramiento,Cat_225,necesito un prestamo hipotecario de quiero asesoramiento
cancelar pago automatico tarjeta credito,Cat_345,cancelar pago automatico tarjeta credito
como me fijo si estan acitvo los debitos automaticos?,Cat_93,como me fijo si estan acitvo los debitos automaticos
motivar poco disponible comprar visa,Cat_303,motivar poco disponible comprar visa
de que se trata santander duo,Cat_139,de que se trata santander duo
cual seria el promedio del aumento mensual del prestamo?,Cat_219,cual seria el promedio del aumento mensual del prestamo
valor seguro de vivienda en la cuota del credito ?,Cat_250,valor seguro de vivienda en la cuota del credito
que monto me prestan con un procrear?,Cat_236,que monto me prestan con un procrear
no puedo entrar al homebankin,Cat_117,no puedo entrar al homebankin
como activar la tarjeta para viajes,Cat_304,como activar la tarjeta para viajes
recarga redbus,Cat_132,recarga redbus
regularizar descubierto exedido,Cat_56,regularizar descubierto exedido
porque sacar dinero cuenta,Cat_115,porque sacar dinero cuenta
queria saber saldo pagar tarjeta,Cat_342,queria saber saldo pagar tarjeta
no se que tipo de cliente soy,Cat_75,no se que tipo de cliente soy
hice una recarga sube y no obtuve el descuento,Cat_312,hice una recarga sube y no obtuve el descuento
puedo acceder al préstamo personal aunque no cobre mi sueldo aca?,Cat_238,puedo acceder al prestamo personal aunque no cobre mi sueldo aca
telefonos banco,Cat_147,telefonos banco
no quiero ningun seguro  como lo doy de baja,Cat_262,no quiero ningun seguro como lo doy de baja
pedí la baja y me llegue la renovación de la póliza  donde reclamo?,Cat_263,pedi la baja y me llegue la renovacion de la poliza donde reclamo
notificación exceso descubierto plata,Cat_56,notificacion exceso descubierto plata
todavia no llego la tarjeta a mi domicilio como hago el seguimiento,Cat_293,todavia no llego la tarjeta a mi domicilio como hago el seguimiento
las tarjetas black tienen cobertura en europa,Cat_282,las tarjetas black tienen cobertura en europa
necesito adherir a debito de la tarjeta visa de credito dos servicios. pero no se como hacerlo,Cat_132,necesito adherir a debito de la tarjeta visa de credito dos servicios pero no se como hacerlo
olvide mi clave banelco,Cat_288,olvide mi clave banelco
debo reservar la propiedad para que el banco la tase,Cat_216,debo reservar la propiedad para que el banco la tase
quiero saber como financiar mi resumen,Cat_308,quiero saber como financiar mi resumen
blanqueo,Cat_288,blanqueo
quiero solicitar el prestamo santander rio,Cat_223,quiero solicitar el prestamo santander rio
yo quiero saber si estoy apto para solicitarlo al ccredito,Cat_248,yo quiero saber si estoy apto para solicitarlo al ccredito
por que me acreditaron acciones de menos?,Cat_153,por que me acreditaron acciones de menos
quiero ampliar el monto de mi descubierto,Cat_57,quiero ampliar el monto de mi descubierto
cuales son los valores de las cuotas del préstamo?,Cat_219,cuales son los valores de las cuotas del prestamo
tipo ofrecer,Cat_39,tipo ofrecer
queria saber si sigue la cuenta bloqueada,Cat_51,queria saber si sigue la cuenta bloqueada
necesito crear pin para poder operar con la tarjeta de ccredito en el cajero automatico,Cat_288,necesito crear pin para poder operar con la tarjeta de ccredito en el cajero automatico
saber limite tarjeta adicional,Cat_303,saber limite tarjeta adicional
no puedo ingresar a home balkin,Cat_117,no puedo ingresar a home balkin
como puedo hacer para sacar mi resumen,Cat_138,como puedo hacer para sacar mi resumen
ajuste valor uvas,Cat_219,ajuste valor uvas
si quiero comprar durante el prestamo otra casa mejor que cumple los requisitos  la toman igual?,Cat_255,si quiero comprar durante el prestamo otra casa mejor que cumple los requisitos la toman igual
cuanto poder sacar cajero,Cat_303,cuanto poder sacar cajero
como se actualiza el valor de la cuota de un prestamo?,Cat_219,como se actualiza el valor de la cuota de un prestamo
necesito usar el seguro que tengo en la tarjeta visa que me cubre en caso de desempleo,Cat_265,necesito usar el seguro que tengo en la tarjeta visa que me cubre en caso de desempleo
me cancelaron mi tarjeta de debito sin motivos,Cat_286,me cancelaron mi tarjeta de debito sin motivos
recibi mi nueva tarjeta de debito. como reseteo el pin?,Cat_288,recibi mi nueva tarjeta de debito como reseteo el pin
estoy en españa y necesito hacer una transferencia puedo hacer el token en un cajero de la red visa plus,Cat_5,estoy en espana y necesito hacer una transferencia puedo hacer el token en un cajero de la red visa plus
cerrar cuenta deber esperar cola,Cat_41,cerrar cuenta deber esperar cola
autonomo sacar tarjeta credito,Cat_337,autonomo sacar tarjeta credito
cual es el plazo que se toman para la autorizacion del préstamo hipotecario?,Cat_243,cual es el plazo que se toman para la autorizacion del prestamo hipotecario
cual es tu plato favorito,Cat_9,cual es tu plato favorito
quiero un telefono de atencion al cliente,Cat_147,quiero un telefono de atencion al cliente
tengo que cobrar dividendos en dolares divisa y no sé cómo hacer,Cat_165,tengo que cobrar dividendos en dolares divisa y no se como hacer
puedo alquilar la propiedad adquirida con un préstamo hipotecario?,Cat_228,puedo alquilar la propiedad adquirida con un prestamo hipotecario
super prestamo,Cat_225,super prestamo
me ofrecieron una bonificación de cuenta y todos los meses tengo que llamar para reclamar el mal cobro,Cat_90,me ofrecieron una bonificacion de cuenta y todos los meses tengo que llamar para reclamar el mal cobro
como puedo hacer para depositar plata para mi tarjeta de credito de santander,Cat_342,como puedo hacer para depositar plata para mi tarjeta de credito de santander
infinity gold chequera,Cat_39,infinity gold chequera
quiero saber si mi tarjeta de credito esta habilitada,Cat_301,quiero saber si mi tarjeta de credito esta habilitada
que cotización de dolares se toma para los lebacs?,Cat_157,que cotizacion de dolares se toma para los lebacs
como hago envio de efectivo,Cat_295,como hago envio de efectivo
como puedo denunciar un siniestro de ap vida?,Cat_265,como puedo denunciar un siniestro de ap vida
tengo que ser cliente para que me den la tarjeta de credito,Cat_337,tengo que ser cliente para que me den la tarjeta de credito
cuales son los pasos para solicitar un préstamo hipotecario procrear?,Cat_241,cuales son los pasos para solicitar un prestamo hipotecario procrear
me llegue la tarjeta adicional. quisiera saber si debo llamar para activarla o ya se puede utilizar?,Cat_301,me llegue la tarjeta adicional quisiera saber si debo llamar para activarla o ya se puede utilizar
quiero que me manden el resumen por mail,Cat_138,quiero que me manden el resumen por mail
quiero saber cuándo piensan devolverme el iva,Cat_58,quiero saber cuando piensan devolverme el iva
que tal?,Cat_12,que tal
bici,Cat_261,bici
cómo sé que una vivienda cumple con las condiciones de habitabilidad?,Cat_203,como se que una vivienda cumple con las condiciones de habitabilidad
caja chica precio por mes,Cat_92,caja chica precio por mes
resumen de mi tarjeta,Cat_138,resumen de mi tarjeta
me gustaría sacar un préstamo,Cat_223,me gustaria sacar un prestamo
cancelación total de ccreditos personales,Cat_246,cancelacion total de ccreditos personales
hoy en la mañana realice una transfereincia inmediata y todavia no se acredito en el otro banco,Cat_77,hoy en la manana realice una transfereincia inmediata y todavia no se acredito en el otro banco
recibir nueva tarjeta visa,Cat_293,recibir nueva tarjeta visa
tienen caja de ahorro para menores de aaños?,Cat_39,tienen caja de ahorro para menores de aanos
necesito sacar dinero en el exterior  ayer intente y no pude,Cat_298,necesito sacar dinero en el exterior ayer intente y no pude
¿quien es el titular de la casa que compre con el préstamo hiptecario?,Cat_256,quien es el titular de la casa que compre con el prestamo hiptecario
quisiera información sobre ccreditos personales,Cat_225,quisiera informacion sobre ccreditos personales
como hago para ingresar automaticamente en el celular,Cat_2,como hago para ingresar automaticamente en el celular
me debitaron la tarjeta?,Cat_279,me debitaron la tarjeta
que pasa con los fci? no hay informacion,Cat_172,que pasa con los fci no hay informacion
como esta compuesto el mix vi,Cat_173,como esta compuesto el mix vi
recibi tarjeta domicilio,Cat_293,recibi tarjeta domicilio
cómo me suscribo a las promociones?,Cat_311,como me suscribo a las promociones
no realizo un debito de un debito automatico en caja de ahorros teniendo saldo suficiente,Cat_129,no realizo un debito de un debito automatico en caja de ahorros teniendo saldo suficiente
tuve un inconveniente con el deposito de un cheque,Cat_43,tuve un inconveniente con el deposito de un cheque
stop debit visa debitar dinero,Cat_38,stop debit visa debitar dinero
hay algun simulador de prestamos,Cat_251,hay algun simulador de prestamos
adicionar pagar afip,Cat_132,adicionar pagar afip
extraccion en el exterior con debito,Cat_298,extraccion en el exterior con debito
para comprar euros los puedo comprar por ventanilla?,Cat_166,para comprar euros los puedo comprar por ventanilla
me descontaron un monto correspondiente a sircreb  y soy exento de este impuesto no me corresponde abonarlo.,Cat_122,me descontaron un monto correspondiente a sircreb y soy exento de este impuesto no me corresponde abonarlo
me pide que acepte el contrato de adhesión. donde lo hago?,Cat_79,me pide que acepte el contrato de adhesion donde lo hago
extra chash,Cat_296,extra chash
necesito hacer una transferencia bancaria,Cat_83,necesito hacer una transferencia bancaria
como saber el limite de compras en cuotas de la tarjeta,Cat_303,como saber el limite de compras en cuotas de la tarjeta
saldo deuda figura notificaciones,Cat_192,saldo deuda figura notificaciones
millas american airlines,Cat_277,millas american airlines
quiero que den de baja seguros que no había solicitado,Cat_264,quiero que den de baja seguros que no habia solicitado
quiero hacer una financiación sobre mi tarjeta de ccredito,Cat_308,quiero hacer una financiacion sobre mi tarjeta de ccredito
el máximo del préstamo se define según lo que valga la propiedad?,Cat_236,el maximo del prestamo se define segun lo que valga la propiedad
como activo transferencias a terceros,Cat_79,como activo transferencias a terceros
me sabrás decir que fondos comunes se encuentran afectados?,Cat_172,me sabras decir que fondos comunes se encuentran afectados
cómo hago para pagar la póliza con la tarjeta?,Cat_269,como hago para pagar la poliza con la tarjeta
como se genera el debin?,Cat_54,como se genera el debin
quiero evitar que transfieran de sucursal mis productos contratados,Cat_74,quiero evitar que transfieran de sucursal mis productos contratados
cuanto me sale mantenimiento mi cuenta,Cat_96,cuanto me sale mantenimiento mi cuenta
no quiero las tarjetas. no las pedí¬≠¬≠¬≠i,Cat_310,no quiero las tarjetas no las pedi¬=¬=¬=i
cotización para auto,Cat_251,cotizacion para auto
querer reclamar devolución desconocimiento compra,Cat_112,querer reclamar devolucion desconocimiento compra
quiero ingresar un empleado para pagos de sueldo a que solapa tengo que ir,Cat_69,quiero ingresar un empleado para pagos de sueldo a que solapa tengo que ir
¿cuando te cobran en un traspaso la cobertura?,Cat_85,cuando te cobran en un traspaso la cobertura
como sacar el anticipo de tarjeta visa,Cat_298,como sacar el anticipo de tarjeta visa
me podes decir el tipo de cambio para pagar una tarjeta,Cat_307,me podes decir el tipo de cambio para pagar una tarjeta
querer abonar tarjeta visa amex,Cat_342,querer abonar tarjeta visa amex
solicite me solucionarán el inconveniente de q no podía hacer compras tenia q pedir autorización,Cat_283,solicite me solucionaran el inconveniente de q no podia hacer compras tenia q pedir autorizacion
yo tenia una cuenta en dolares. queria saber si esta vigente,Cat_61,yo tenia una cuenta en dolares queria saber si esta vigente
estoy buscando la forma de haser el plan v,Cat_308,estoy buscando la forma de haser el plan v
necesito solicitar tarjeta de corrdenadas,Cat_5,necesito solicitar tarjeta de corrdenadas
que nesecito hacer blanqueo de pin de la tarjeta,Cat_288,que nesecito hacer blanqueo de pin de la tarjeta
como se elimina de la agenda de pagos un pago efectuado por otro medio,Cat_93,como se elimina de la agenda de pagos un pago efectuado por otro medio
deposite un cheque y no me figura como depositado,Cat_49,deposite un cheque y no me figura como depositado
que es la variación del cer,Cat_107,que es la variacion del cer
yo tengo un plazo fijo que vence mañana osea mañana se me deposita en la cuenta y en ese momento entro a la cuenta y me dice que no tengo plazo fijo,Cat_185,yo tengo un plazo fijo que vence manana osea manana se me deposita en la cuenta y en ese momento entro a la cuenta y me dice que no tengo plazo fijo
necesitar rechazar debitar automatico caja ahorrar,Cat_129,necesitar rechazar debitar automatico caja ahorrar
quiero número american express,Cat_147,quiero numero american express
comprar targeta visa,Cat_112,comprar targeta visa
cuando se que tengo que pagar el préstamo hipotecario?,Cat_239,cuando se que tengo que pagar el prestamo hipotecario
donde se pide el prestamo prendario?,Cat_223,donde se pide el prestamo prendario
habilitar tarjeta para exterior,Cat_304,habilitar tarjeta para exterior
como saco el pin,Cat_288,como saco el pin
no se realizo mi tranferencia. que hacer?,Cat_80,no se realizo mi tranferencia que hacer
pedi tarjeta saber donde esta,Cat_293,pedi tarjeta saber donde esta
como saber cuanto debo,Cat_99,como saber cuanto debo
cual es el valor maximo de la propiedad para un prestamo hipotecario,Cat_236,cual es el valor maximo de la propiedad para un prestamo hipotecario
necesito un prestamo de $ soy monotributista.,Cat_223,necesito un prestamo de usd soy monotributista
deposite $ mil y no se acreditó hasta el día de hoy,Cat_109,deposite usd mil y no se acredito hasta el dia de hoy
cuanto dinero puedo pedir para un prestamo personal,Cat_251,cuanto dinero puedo pedir para un prestamo personal
necesito entrar a mi cuenta que ya esta abierta,Cat_3,necesito entrar a mi cuenta que ya esta abierta
me están cobrando el cargo anual y lo tengo bonificado,Cat_90,me estan cobrando el cargo anual y lo tengo bonificado
tarjeta american express crear usuario,Cat_1,tarjeta american express crear usuario
a donde tengo q dirigirme para pedir una tarjeta de debito nueva ? porque la que tengo esta rota,Cat_316,a donde tengo q dirigirme para pedir una tarjeta de debito nueva porque la que tengo esta rota
recibi un mail indicando que una de mis tarjetas no habia sido pagada,Cat_193,recibi un mail indicando que una de mis tarjetas no habia sido pagada
queria hacer una consulta sobre sorpresa santander hay promo,Cat_311,queria hacer una consulta sobre sorpresa santander hay promo
como hago para tener homebanking?,Cat_3,como hago para tener homebanking
compras en el exterior con tarjeta de credito visa,Cat_289,compras en el exterior con tarjeta de credito visa
cuanto me retienen por realizar una transferencia internacional?,Cat_31,cuanto me retienen por realizar una transferencia internacional
quiero hacer una transferencia del exterior,Cat_32,quiero hacer una transferencia del exterior
como puedo consultar el limite de mi tarjeta?,Cat_303,como puedo consultar el limite de mi tarjeta
debo tarjeta debitar,Cat_39,debo tarjeta debitar
quiero baja adhesion debito automatico,Cat_89,quiero baja adhesion debito automatico
quiero notificar el pago de deuda,Cat_195,quiero notificar el pago de deuda
suma puntos superclub la tarjera recargable?,Cat_313,suma puntos superclub la tarjera recargable
quiero saber a que monto puede acceder por prestamo personal,Cat_236,quiero saber a que monto puede acceder por prestamo personal
hice un pago ayer y no puedo ver el comprobante,Cat_98,hice un pago ayer y no puedo ver el comprobante
necesito hacer un pago de tarjeta santander,Cat_342,necesito hacer un pago de tarjeta santander
inconvenientes con home banking,Cat_117,inconvenientes con home banking
quisiera saber si mi tarjeta de debito esta en tramite,Cat_293,quisiera saber si mi tarjeta de debito esta en tramite
ya termino el mes y no veo mi sueldo en la cuenta,Cat_62,ya termino el mes y no veo mi sueldo en la cuenta
quiero vender unas acciones del grupo pampa,Cat_154,quiero vender unas acciones del grupo pampa
cuantos aaños puede tener el préstamo prendario?,Cat_242,cuantos aanos puede tener el prestamo prendario
clave para sacar plata con tarjeta de ccredito,Cat_288,clave para sacar plata con tarjeta de ccredito
necesario obtener caja ahorro pesoss,Cat_39,necesario obtener caja ahorro pesoss
tengo unas tarjetas para retirar  se pueden retirar en otra sucursal,Cat_318,tengo unas tarjetas para retirar se pueden retirar en otra sucursal
quier hacer la denuncia de extravío de la tarjeta de debito,Cat_294,quier hacer la denuncia de extravio de la tarjeta de debito
quiero entrar al programa del banco y siempre me sale que hay un programa abierto,Cat_0,quiero entrar al programa del banco y siempre me sale que hay un programa abierto
reintegrar ahorrar comprar combustible devolver,Cat_312,reintegrar ahorrar comprar combustible devolver
yo tenia una cuenta que di de baja y ahora me aparece en el ho tengo la baja firmada en el banco,Cat_41,yo tenia una cuenta que di de baja y ahora me aparece en el ho tengo la baja firmada en el banco
numero agencia,Cat_100,numero agencia
donde pido el certificado de libre deuda?,Cat_64,donde pido el certificado de libre deuda
que pasa si no pago las cuotas del prestamo hipotecario?,Cat_240,que pasa si no pago las cuotas del prestamo hipotecario
no me aparece el vep donde lo encuentro?,Cat_129,no me aparece el vep donde lo encuentro
cómo consulto mi disponible de tarjeta,Cat_303,como consulto mi disponible de tarjeta
beneficios con la tarjeta de ccredito,Cat_311,beneficios con la tarjeta de ccredito
deuda hablar,Cat_194,deuda hablar
quiero saber como obtengo el dinero para la compra de un auto de manera particular ?? no x agencia,Cat_225,quiero saber como obtengo el dinero para la compra de un auto de manera particular no x agencia
quisiera saber cómo recargar credito a un celular,Cat_132,quisiera saber como recargar credito a un celular
no recibi tarjeta recargable,Cat_293,no recibi tarjeta recargable
no quiero recibir mas el resumen de la tarjeta por correo solo por correo electronico,Cat_138,no quiero recibir mas el resumen de la tarjeta por correo solo por correo electronico
era para hacer una denuncia de un siniestro,Cat_265,era para hacer una denuncia de un siniestro
estoy en el exterior y no puedo sacar plata,Cat_298,estoy en el exterior y no puedo sacar plata
quiero conocer más sobre priority pass,Cat_284,quiero conocer mas sobre priority pass
si me suscribo ahora a sorpresa santander. ya lo puedo usar?,Cat_320,si me suscribo ahora a sorpresa santander ya lo puedo usar
como blanqueo mi tarjeta de debito ?,Cat_288,como blanqueo mi tarjeta de debito
necesito el numero de telefono de visa santander rio para denunciar el estravio,Cat_294,necesito el numero de telefono de visa santander rio para denunciar el estravio
quiero calcular el prestamo hipotecario,Cat_251,quiero calcular el prestamo hipotecario
de que manera va actualizando la cuota del ccredito personal?,Cat_219,de que manera va actualizando la cuota del ccredito personal
