Pregunta,Intencion,Pregunta_T1
no quiero recibir mi resumende cuenta en papel,Cat_138,No quiero recibir mi resumen de cuenta en papel
me llego un correo ami casa diciendo. que tengo una deuda de,Cat_193,Recibí un correo electrónico de mi casa diciendo. Tengo una deuda de
hasta que hora tengo tiempo para cubrir los cheques?,Cat_49,¿Hasta qué hora tengo tiempo para cubrir los cheques?
querer asesorar cerrar cuenta,Cat_41,querer aconsejar cerrar cuenta
quiero conocer los movimientos de mi cuenta,Cat_50,Quiero saber los movimientos de mi cuenta
es para hacer el rescate de la visa debito de la sucursal.,Cat_318,Es para rescatar la visa de débito de la sucursal.
cambiar de programa de afinidad,Cat_299,cambiar programa de afinidad
como hago el pedido de la tarjeta prepaga,Cat_313,¿Cómo solicito la tarjeta prepaga?
reclamar compra hacer,Cat_112,reclamar compra hacer
tengo que derivar el valor desde la cuenta sueldo a la cta cte,Cat_85,Tengo que derivar el valor de la cuenta de salario al cte cte
puedo elegir la fecha de vencimiento de mi cuota de prestamo hipotecario?,Cat_259,¿Puedo elegir la fecha de vencimiento de la cuota de mi préstamo hipotecario?
pague de mas la tarjeta y quisiera saber si se puede volver esa plata a la cuenta,Cat_347,pagar en exceso la tarjeta y me gustaría saber si ese dinero puede devolverse a la cuenta
ya tengo tarjeta santander  ccredito. me lo bloquiaron por qie la pague tarde.,Cat_314,Ya tengo una tarjeta de crédito Santander. Me lo bloquearon para pagar tarde.
queria saber como puedo recuperar mi contraseña del cajero,Cat_288,Quería saber cómo puedo recuperar mi contraseña de cajero automático
que es el valor nominal de los bonos,Cat_157,cual es el valor nominal de los bonos
solicitar caja ahorro euros,Cat_39,solicitar caja de ahorro euros
por que me autorizan en el préstamo hipotecario solo el % del importe total de la vivienda?,Cat_245,¿Por qué solo el% del monto total de la casa está autorizado en el préstamo hipotecario?
el shopping de avellaneda tiene también los descuentos?,Cat_311,¿Las compras en Avellaneda también tienen descuentos?
el porcentaje de escritura esta incluido sobre la compra y venta del inmueble?,Cat_210,¿Se incluye el porcentaje de escritura en la compra y venta de la propiedad?
¿ustedes transfieren bonos a otra entidad?,Cat_150,¿Transfieres bonos a otra entidad?
como sé si puedo pagar un servicio por la página del banco?,Cat_132,¿Cómo sé si puedo pagar un servicio a través de la página del banco?
limite tarjeta santander,Cat_303,límite de tarjeta santander
necesito conseguir un herrero para mi casa,Cat_265,necesito conseguir un herrero para mi casa
en que horarios se puede llamar,Cat_147,a que horas puedes llamar
ya realizé esos pasos y no me deja. me dice q no me identifican,Cat_1,Ya he hecho esos pasos y no me deja. dime que no me identifican
quiero agendar un compromiso de pago de mi deuda.,Cat_191,Quiero programar un compromiso para pagar mi deuda.
no soy cliente y quiero un préstamo,Cat_248,No soy cliente y quiero un préstamo
orientame cómo hacer compra de lebacs desde la página,Cat_157,guíame como comprar lebacs desde la página
puedo pedir que me manden la tarjeta a la sucursal y retirar directamente ahí?,Cat_318,¿Puedo solicitar que se envíe la tarjeta a la sucursal y retirarla directamente allí?
entrar devolucion promo freddo,Cat_312,ingresar reembolso promo freddo
como me asocio a super club,Cat_299,como me uno al super club
cual es el mail de santander rio,Cat_29,cual es el correo de santander rio
hice una recarga sube y no cargo el dinero,Cat_129,Subí una recarga y no cobro el dinero
si quiero donar la propiedad que posilibidades tengo?,Cat_256,"Si quiero donar la propiedad, ¿qué posibilidades tengo?"
necesito pedir un nuevo plastico,Cat_316,Necesito pedir un plástico nuevo.
hay pagar una tasa de interés muy alta por el acuerdo de sobregiro?,Cat_56,¿Hay una tasa de interés muy alta para pagar el acuerdo de sobregiro?
hoy trabajan?,Cat_114,trabajan hoy
cómo soluciono un traspaso a una cuenta cerrada?,Cat_78,¿Cómo arreglo una transferencia a una cuenta cerrada?
puedo hacer depositos los feriados,Cat_110,puedo depositar vacaciones
necesito modificar el límite del descubierto,Cat_57,Necesito modificar el límite de sobregiro
necesito dejar asentada una queja,Cat_133,Necesito presentar una queja
necesito habilitar mi tarjeta de debito para salir del pais,Cat_304,Necesito habilitar mi tarjeta de débito para salir del país
como evitar el debito de mi tarjeta de credito de la cuenta,Cat_345,Cómo evitar debitar mi cuenta de tarjeta de crédito
querer pagar tarjeta dolares,Cat_307,querer pagar tarjeta de dólar
estoy tratando dar de baja el seguro mensual asociado a mi tarjeta de credito.,Cat_262,Estoy tratando de cancelar el seguro mensual asociado con mi tarjeta de crédito.
que necesito para acceder a un préstamo hipotecario,Cat_248,¿Qué necesito para acceder a un préstamo hipotecario?
como consulto el saldo cuenta custodia,Cat_188,¿Cómo verifico el saldo de la cuenta de custodia?
qué hay que presentar para hacerte cliente de santander?,Cat_39,¿Qué tengo que presentar para ser cliente de Santander?
perdí mi tarjeta  quier darla de baja y que la repongan,Cat_294,"Perdí mi tarjeta, quiero darme de baja y reemplazarla"
puedo acceder al beneficio iu teniendo la extensión de mi mamá??,Cat_140,¿Puedo acceder al beneficio si tengo la extensión de mi madre?
quiero saber de alternativas de inversión en dolares,Cat_178,Quiero saber sobre alternativas de inversión en dólares.
necesitoia requisito abrir caja ahorro monotributista,Cat_39,Necesito un requisito para abrir una caja de ahorros monotributista
me quiero pedir una reimpresión y no me parecen el listado para pedirla por obp yo soy adicional,Cat_316,Quiero solicitar una reimpresión y no veo la lista para solicitarla por obp. Soy adicional
se puede comunicar alguien conmigo,Cat_134,alguien puede comunicarse conmigo
alto debitos automaticos,Cat_132,altos débitos automáticos
hago todos los pasos pero no me llega el codigo a mi celular,Cat_1,Hago todos los pasos pero el código no llega a mi teléfono celular
quisiera saber el costo de las tarjetas adicionales visa,Cat_96,Me gustaría saber el costo de las tarjetas de visa adicionales
la 365 no me está sirviendo. como la cancelo?,Cat_280,365 no me está sirviendo. ¿Cómo lo cancelo?
cuales son los papeles que debo presentar para abir una caja de ahorro en pesoss ?,Cat_39,¿Cuáles son los documentos que debo presentar para abrir una caja de ahorros en pesos?
cancelar cuenta homebanking,Cat_41,cancelar cuenta de homebanking
cual es el limite de edad para pedir un ccredito?,Cat_248,¿Cuál es el límite de edad para solicitar un crédito?
quiero saber cuantos servicios tengo adheridos en mi tarjeta de credito,Cat_93,Quiero saber cuántos servicios he adjuntado a mi tarjeta de crédito
cuanto rinde un fondo comun de inversion,Cat_174,¿Cuánto rinde un fondo de inversión común?
qué necesito para crear una nueva cuenta?,Cat_39,¿Qué necesito para crear una nueva cuenta?
quierotelefono comunicarme atenciin cliente,Cat_147,Quiero que el teléfono comunique el servicio al cliente.
no soy cliente y quiero sacar un prestamo,Cat_248,No soy cliente y quiero pedir un préstamo.
queria saber por que no habia recibido mi tarjeta aun.,Cat_293,Quería saber por qué todavía no había recibido mi tarjeta.
quiero hacer un stop debit de un consumo que no hice con mi tarjeta de credito,Cat_112,Quiero detener el débito de un consumo que no hice con mi tarjeta de crédito
como hago para invertir a travez de home banking,Cat_178,¿Cómo puedo invertir a través de la banca en casa?
es posible depositar en esta caja de ahorro en dolares un cheque en dolares de un banco del exterior,Cat_30,es posible depositar en esta caja de ahorros en dólares un cheque en dólares de un banco extranjero
quiero ser plan sueldo,Cat_72,Quiero ser un plan salarial
cuales son los costos administrativos del prestamo personal?,Cat_231,¿Cuáles son los costos administrativos del préstamo personal?
necesito telefono,Cat_147,necesito telefono
cómo renuevo mis tarjetas?,Cat_316,¿Cómo renuevo mis tarjetas?
necesito pagar el sueldo de la empleada domestica  como se puede habilitar de manera rapida?,Cat_69,"Necesito pagar el salario del empleado doméstico, ¿cómo puedo habilitarlo rápidamente?"
estoy apto para el prestamo,Cat_248,Soy apto para el prestamo
necesito poner en stop debit un servicio que tengo en la tarjeta.,Cat_145,Necesito dejar de debitar un servicio que tengo en la tarjeta.
no quiero que me llamen más,Cat_136,Ya no quiero que me llamen
mi tarjeta de credito no fue enviada quiro hacer reclamo,Cat_293,mi tarjeta de crédito no fue enviada Quiero hacer un reclamo
donde puedo ver la orden de compra de las acciones?,Cat_167,¿Dónde puedo ver la orden de compra de las acciones?
me dijeron que el préstamo hipotecario puede ser hasta aaños  esto es así?,Cat_242,"Me dijeron que el préstamo hipotecario puede ser de hasta años, ¿es así?"
por que todavía no se puede canjear puntos superclub por las entradas del lollapalooza??,Cat_327,¿Por qué no puedes intercambiar puntos de superclub por entradas para lollapalooza?
como pagar resumen tarjeta,Cat_342,cómo pagar resumen de tarjeta
como informo un siniestro en tv y computadora,Cat_265,¿Cómo se reportó un accidente en la televisión y la computadora?
no me aparece la cuenta de la tarjeta en pagomiscuentas,Cat_131,la cuenta de la tarjeta no aparece en pagomiscuentas
como comprara bonar,Cat_157,cómo comprar bonar
tu nombre,Cat_14,tu nombre
quiero la baja de la cuenta por el cargo mensual,Cat_41,Quiero el retiro de la cuenta por el cargo mensual
interes prestamo personal,Cat_258,préstamo personal de interés
en donde encuentro las transacciones que hice desde enero con la tarjeta?,Cat_138,¿Dónde puedo encontrar las transacciones que hice desde enero con la tarjeta?
el cajero me dio un importe diferente al solicitado,Cat_297,el cajero me dio una cantidad diferente a la solicitada
aplicar descuento santander sorpresa,Cat_312,aplicar descuento sorpresa santander
quiero solicitar tarjeta,Cat_337,Quiero solicitar una tarjeta
quisiera saber cuando me llega la tarjeta de credito,Cat_293,Me gustaría saber cuándo llega la tarjeta de crédito
queria saber como podia sacar un pretamo con ustedes,Cat_223,Quería saber cómo podría obtener un préstamo contigo
me enviaron un pago internacional y no lo veo acreditado,Cat_33,me enviaron un pago internacional y no lo veo acreditado
plata transferir,Cat_83,transferencia de plata
no se me estaría debutando en forma automática mi tarjeta visa,Cat_346,No estaría debutando automáticamente mi tarjeta de visa
quiero descubierto corriente,Cat_56,Quiero descubierto actual
cómo agrego un destinatario nuevo transferir,Cat_76,¿Cómo agrego una nueva transferencia de destinatario?
se puede retirar en cualquier momento la plata de un superfondo?,Cat_175,¿Se puede retirar plata de un superfondo en cualquier momento?
como pagar facturar tarjeta,Cat_132,cómo pagar con tarjeta
me gustaría obtener la targeta de credito,Cat_337,Me gustaria obtener la tarjeta de credito
canjie los puntos de superclub pero no me ha llegado el envio,Cat_326,Cambié los puntos del superclub pero el envío no ha llegado.
cuando hago una transferencia es inmediata?,Cat_77,"Cuando hago una transferencia, ¿es inmediato?"
queria colocar en el fci en dolares,Cat_176,quería colocar en la fci en dólares
los números para comunicarme por tarjeta visa credito ?,Cat_147,los números para comunicarse con tarjeta de visa de crédito?
queria tarda aprobar solicitud tarjeta,Cat_118,quería aprobar la solicitud de tarjeta
fondo insuficiente tarjeta,Cat_303,fondo de tarjeta insuficiente
me hicieron un ajuste por inactividad en los puntos superclub,Cat_323,Tuve un ajuste por inactividad en los puntos del súper club
algun numero de telefono asi puedo llamar,Cat_147,algún número de teléfono para poder llamar
para acceder a un representante,Cat_29,para acceder a un representante
cómo se efectúa la tasación de la propiedad?,Cat_216,¿Cómo se valora la propiedad?
quiero saber por que no se ha podido debitar el servicio de cablevision de mi cuenta,Cat_129,Quiero saber por qué el servicio de cablevisión no se puede debitar de mi cuenta
puedo derivar mi ccredito a otra persona?,Cat_257,¿Puedo desviar mi crédito a otra persona?
quiero hacer un stop debit de un servicio adherido a mi cuenta,Cat_145,Quiero dejar de debitar un servicio adjunto a mi cuenta
agregar un servicio al debito automatico,Cat_132,agregar un servicio al débito automático
quiero solicitar tarjeta credito,Cat_337,Quiero solicitar una tarjeta de credito
cuál es la punta de referencia para discount?,Cat_168,¿Cuál es el punto de referencia para el descuento?
saber sucursal tarjeta credito american express,Cat_293,saber sucursal tarjeta de crédito American Express
hacer recargar virtual app,Cat_132,recargar la aplicación virtual
hasta que edad me permite acceder al prestamo,Cat_248,hasta que edad me permite acceder al préstamo
necesito saber como canjear mis puntos de la tarjeta,Cat_322,Necesito saber cómo canjear los puntos de mi tarjeta
no puedo hacer un recate del fondo de inbersion que tengo suscripto,Cat_172,No puedo rescatar del fondo de inversión que he suscrito
debitos automaticos junio impactar,Cat_129,débitos automáticos junio impacto
querer cargar tarjeta colectivo,Cat_132,querer cargar la tarjeta colectiva
la app se colgó cuando estaba canjeando puntos de superclub,Cat_328,la aplicación se bloqueó cuando estaba canjeando puntos de súper club
te escribo para denunciar el robo de una notebook que la tengo asegurada,Cat_265,Le escribo para denunciar el robo de un cuaderno que he asegurado.
desactivar adhesion debito automatico,Cat_89,deshabilitar la adhesión automática de débito
por que no se muestra el resultado de hoy de los fondos?,Cat_172,¿Por qué el resultado de los fondos no se muestra hoy?
donde veo el resumen de mi tarjeta amex?,Cat_138,¿Dónde veo el resumen de mi tarjeta amex?
queria saber si puedo retirar efectivo con mi tarjeta de ccredito visa santander rio,Cat_298,Quería saber si puedo retirar efectivo con mi tarjeta de crédito visa Santander Rio
yo page el minimo de la tarjeta de ccredito y no la puedo volvet a usar‚äö¬¨√ö¬°¬¨í‚ç¨¬¶¬°¬¨‚ç¨≈°¬¨√≠‚ä¶¬°¬¨¬π,Cat_314,Pago el mínimo de la tarjeta de crédito y no puedo volver a usarla ä ¬ √ ‚ç ¶ ¬‚ ç ‚ç ≈‚ √ ≈ ‚√ √ °‚ √ √ ° ¬¨¬π
donde veo la poliza?,Cat_266,¿Dónde veo la política?
sabes algo del envio de mis premios canjeados por puntos superclub,Cat_326,¿Sabes algo sobre el envío de mis premios canjeados por puntos de súper club?
cual es el porcentaje de interes en un plazo fijo hoy?,Cat_183,¿Cuál es el porcentaje de interés en un plazo fijo hoy?
sabes que sucursal tiene euros?,Cat_166,¿Sabes qué sucursal tiene euros?
no me llega el resumen de caja de valores,Cat_164,No obtengo el resumen de la caja de existencias.
como habilitar mi contraseña para cobro por cajero,Cat_288,Cómo habilitar mi contraseña para el cobro del cajero
donde firmo mi contrato para autorizar transferencias,Cat_79,donde firmo mi contrato para autorizar transferencias
comision custodio,Cat_96,comisión de custodia
quiero vender acciones,Cat_154,Quiero vender acciones
para blanquear la clave de debito. necesito asistencia de personal del banco?,Cat_288,para lavar la clave de débito. ¿Necesito asistencia del personal del banco?
pagar adelantar tarjeta credito,Cat_342,pagar con tarjeta de crédito por adelantado
querer saber saldo tarjeta,Cat_303,querer saber el saldo de la tarjeta
cantidad de billetes máximo para depositar en cajeros automaticos,Cat_110,Número máximo de billetes para depositar en cajeros automáticos
estoy interesada en sacarme la tarjeta,Cat_337,Estoy interesado en sacar mi tarjeta
que tengo que hacer para que me suban el limite del descubierto,Cat_57,¿Qué debo hacer para aumentar el límite del sobregiro?
como me doy de alta en advantage?,Cat_299,¿Cómo me registro para obtener ventaja?
me informas que # de sucursal es la que queda sobre triunvirato,Cat_91,me informan que # de rama es la que permanece en triunvirato
el límite de extración en el exterior es el mismo que en argentina?,Cat_303,¿El límite de extracción en el extranjero es el mismo que en Argentina?
quiero consultar mis últimos movimientos de la tarjeta de credito,Cat_355,Quiero consultar mis últimos movimientos de tarjeta de crédito
en donde puedo generar el pin para adelantos en efectivo?,Cat_288,¿Dónde puedo generar el pin para adelantos en efectivo?
cambia el límite de compra si pago en cuotas?,Cat_303,¿El límite de compra cambia si pago en cuotas?
como hago para registrarme? en online banking,Cat_3,¿Cómo me registro? en banca en línea
pedí la baja y todavía veo el seguro,Cat_263,Solicité el retiro y aún veo el seguro
por que aparecen pagos que ya hice en el recordatorio?,Cat_93,¿Por qué los pagos que ya hice aparecen en el recordatorio?
saber ubicar tarjeta visa,Cat_293,saber cómo localizar la tarjeta visa
me llegaron dos tarjetas adicionales con distinto número de una misma persona,Cat_309,Recibí dos tarjetas adicionales con diferentes números de la misma persona.
reposición de tarjeta debito,Cat_316,reemplazo de tarjeta de débito
q ingresos se necesitan para el prestamo,Cat_249,qué ingresos se necesitan para el préstamo
necesito cambiar mi cuenta desde rio gallegos a resistencia chaco,Cat_65,Necesito cambiar mi cuenta de Río Gallegos a Resistencia Chaco
me desapareció la luz del calendario de pagos.,Cat_129,La luz del calendario de pagos desapareció.
cuanto paga el santander por un plazo fijo de $ pesos a dias???,Cat_181,¿Cuánto paga Santander por un plazo fijo de $ pesos por día?
necesito saber sobre prestamos para cambio de auto,Cat_228,Necesito saber acerca de los préstamos de cambio de auto
reclamar envio tarjeta visa adicional,Cat_293,reclamar envío tarjeta de visa adicional
debitar automatico factura aysa,Cat_129,débito automático aysa factura
como doy de baja una tarjeta que ya adherí a todo pago,Cat_285,¿Cómo me doy de baja una tarjeta que ya adherí a todos los pagos?
quiero suscribir un bonar,Cat_157,Quiero suscribir un bonar
saber.si puedo sacar un creditio,Cat_248,saber si puedo obtener un crédito
queria saber si hay alguna beca de dinero para pagar la cuota de la facultad,Cat_358,Quería saber si hay alguna subvención de dinero para pagar la tarifa de la facultad
cajero automatico billete falso,Cat_297,billetes falsos ATM
alto bancario,Cat_39,banco alto
que marcas están adheridas,Cat_311,qué marcas están unidas
cierre de la targeta,Cat_341,cierre de tarjeta
quiero dejar asentada una queja,Cat_133,Quiero presentar una queja
necesitaría un préstamo de yo soy cliente santander,Cat_223,Necesitaría un préstamo de Soy cliente de Santander
habilitar mi tarjeta de débito visa santander rio,Cat_301,habilitar mi tarjeta de débito visa santander rio
puedo dar de baja la tarjeta adicional que me mandaron por duplicado?,Cat_309,¿Puedo cancelar la suscripción de la tarjeta adicional que me enviaron por duplicado?
quisiera saber si se podria obtener una bonificacion por mantener una cuenta que casi no la uso.,Cat_73,Me gustaría saber si podría obtener una bonificación por mantener una cuenta que apenas uso.
comisionar recibir enviar dinero exterior,Cat_31,comisión recibe enviar dinero extranjero
quiero el prestamo de santander rio ya soy cliente,Cat_223,Quiero el préstamo de Santander Rio ya soy cliente
tengo muchas preguntas,Cat_22,Tengo muchas preguntas
cuendo llegar tarjeta debito amex solicité,Cat_293,cuando llega la tarjeta de débito amex solicité
intenté hacer una transferencia al exterior y la veo guardada,Cat_35,Traté de hacer una transferencia al extranjero y veo que se guardó
incluye seguro de incendio el préstamo?,Cat_250,¿El préstamo incluye seguro contra incendios?
las tarjetas prepagas se pueden utilizar para retirar efectivo por ventanilla,Cat_313,las tarjetas prepagas se pueden usar para retirar efectivo en la ventana
para los beneficios women hay que suscribirse?,Cat_357,para mujeres beneficios tienes que suscribirte?
saber tener credito comprar tarjeta credito,Cat_303,saber tener crédito comprar tarjeta de crédito
necesito numero sucursal,Cat_100,Necesito un numero de sucursal
la promo con despegar sirve para hoteles?,Cat_311,¿La promoción despega para los hoteles?
pago tarjeta después fecha vencimiento debitar,Cat_349,pago con tarjeta después de la fecha de vencimiento
necesito saber donde puedo reclamar una tarjeta que no me llego al domicilio,Cat_293,Necesito saber dónde puedo reclamar una tarjeta que no llegó a mi casa
saber estado de deuda tarjeta de credito,Cat_99,saber el estado de la deuda de la tarjeta de crédito
comision visa plus,Cat_96,visa más comisión
me quedó el domicilio asegurado donde vivía anteriormente  quisiera hacer el cambio,Cat_267,Tenía la dirección asegurada donde vivía anteriormente. Me gustaría hacer el cambio.
por que estoy pagando ike?,Cat_262,¿Por qué le estoy pagando a ike?
como liquidan los fondos a la consecionaria?,Cat_226,¿Cómo paga los fondos al consejo?
como adquirir la nueva tarjeta nova,Cat_306,cómo obtener la nueva tarjeta nova
mi tarjeta vence este mes pero aún no me llega la nueva. que debo hacer?,Cat_316,Mi tarjeta vence este mes pero la nueva aún no ha llegado. ¿Qué tengo que hacer?
ya tengo un prestamo vigente.quisiera saber si la tasa es variable.,Cat_258,Ya tengo un préstamo actual. Me gustaría saber si la tasa es variable.
cuál es la tasa del préstamo?,Cat_258,¿Cuál es la tasa de préstamo?
cómo pido un préstamo personal?,Cat_223,¿Cómo solicito un préstamo personal?
presiso un numero de token para una transferencia,Cat_5,Presiono un número de token para una transferencia
algun numero de atencion al cliente,Cat_147,algún número de servicio al cliente
limite extrae exterior mismo argentino?,Cat_303,¿Extracto límite fuera del mismo argentino?
abonar gasto tarjeta credito,Cat_342,pagar gastos de tarjeta de crédito
si puedo acceder a un préstamo prendario,Cat_248,si puedo acceder a un préstamo de compromiso
soy cliente.. quisiera saber si puedo acceder a un prestamo personal?,Cat_223,Soy cliente. Me gustaría saber si puedo acceder a un préstamo personal.
querer pagar arba automotor banking dejar,Cat_129,querer pagar licencia de banca automotriz arba
figura compra hacer,Cat_112,figura comprar hacer
cuando debia activarlas por viaje al exterior,Cat_304,cuando tuve que activarlos para un viaje al extranjero
limite descubierto,Cat_56,límite descubierto
quiero hacer un reclamo,Cat_135,Quiero hacer un reclamo
necesitaria comunicarme con comercio exterior,Cat_29,Necesitaría comunicarme con el comercio exterior
cuando me otorgan el prestamo en que moneda lo hacen?,Cat_226,cuando me dan el préstamo en qué moneda lo hacen?
monto tarjeta credito desconocer cuota,Cat_112,importe de la tarjeta de crédito ignorar tarifa
generacion clave banelco,Cat_288,generación de claves banelco
¿quien será el titular de la vivienda que compré con el préstamo hipotecario?,Cat_256,¿Quién será el dueño de la casa que compré con el préstamo hipotecario?
necesito extensión de haberes,Cat_57,Necesito una extensión de activos
mi chequera está en una sucursal pero quiero retirarla en otra,Cat_46,mi chequera está en una sucursal pero quiero retirarla en otra
para hacer un traspaso de sucursal,Cat_65,hacer una transferencia de sucursal
llamado juridico,Cat_190,llamada legal
¿puedo acceder a un préstamo siendo jubilado?,Cat_234,¿Puedo acceder a un préstamo cuando estoy retirado?
cuándo me estaría acreditando anses la licencia?,Cat_37,¿Cuándo recibiré mi licencia?
comisión operación precio,Cat_96,precio de tarifa de transacción
quiero saber como hacer para renovar mi tarjeta de debito que vence este mes?,Cat_316,¿Quiero saber cómo renovar mi tarjeta de débito que vence este mes?
quiero la tarjeta nova,Cat_306,Quiero la tarjeta nova
estoy llamando para hacer un reclamo,Cat_135,Estoy llamando para hacer un reclamo
cambio de plástico x mala impresión,Cat_316,cambio de plástico x mala impresión
como se calculan los ingresos variables para un préstamo personal?,Cat_249,¿Cómo se calcula el ingreso variable para un préstamo personal?
quiero depositar en un fci,Cat_176,Quiero depositar en una fci
no llegar tarjeta cliente nuevo,Cat_293,no obtenga una nueva tarjeta de cliente
y la tarjeta de debito para subir el monto de retiro como ago,Cat_287,y la tarjeta de débito para aumentar el monto del retiro como hace
obtener targeta credito,Cat_337,obtener tarjeta de crédito
quiero pagar en cuotas mi resumen de tarjeta,Cat_308,Quiero pagar el resumen de mi tarjeta en cuotas
obtener clave hacer paso dato incorrecto,Cat_1,obtener clave hacer paso de datos incorrecto
dice que las claves que tengo estan vencidas y no me permite poner una nueva,Cat_1,dice que las claves que tengo han caducado y no me permite poner una nueva
puedo depositar la plata en un cajero para pagar la tarjeta?,Cat_342,¿Puedo depositar el dinero en un cajero automático para pagar la tarjeta?
se puede hacer una simulacion de como vendrian las cuotas,Cat_251,puedes simular cómo vendrían las tarifas
necesito hacer un deposito desde cuenta extranjera.  queria saber si tiene costo y que datos necesito tener,Cat_36,Necesito hacer un depósito desde una cuenta extranjera. Quería saber si tiene un costo y qué datos necesito tener
en que lugar puedo ver la vep que me remitio correo argentino,Cat_132,¿Dónde puedo ver el mensaje que me envió el correo argentino?
me bloquearon la cuenta desde mi sucursal y no puedo retirar dinero,Cat_51,Mi cuenta fue bloqueada desde mi sucursal y no puedo retirar dinero
tardo adherirse servicio debitar,Cat_106,lento para unirse al servicio de débito
si quiero imprimir el ultimoresumen de la tarjeta visa gold,Cat_138,Si quiero imprimir el último resumen de la tarjeta Visa Gold
que concesionarias de autos trabajan con la linea de ccredito uva de su banco,Cat_223,qué concesionarios de automóviles trabajan con la línea de crédito de su banco
como blanquear pin tarjeta visa credito,Cat_288,cómo lavar el pin de la tarjeta de crédito visa
que me descontaron si estoy al dia con la tarjeta,Cat_115,que me descontaron si estoy al día con la tarjeta
necesito saber porque se me esta rechazando un debito automatico a mi caja de ahorro.,Cat_129,Necesito saber por qué se rechaza un débito automático en mi caja de ahorros.
por que no se visualizan mis tenencias en la cnv?,Cat_164,¿Por qué no se muestran mis tenencias en el cnv?
que posibilidades tengo de obtener un ccredito,Cat_248,¿Qué posibilidades tengo para obtener un crédito?
quierotelefono comunicarme visa santander,Cat_147,Quiero comunicarme por teléfono con la visa Santander
deja cambiar clave queestaba servir,Cat_1,vamos a cambiar la contraseña que estaba sirviendo
estaría necesitando un prestamo personal por $ para refaccionar mi casa.,Cat_228,Necesitaría un préstamo personal por $ para renovar mi casa.
como acivo mi tarjeta de debito santander rio,Cat_301,¿Cómo activo mi tarjeta de débito Santander Rio?
como puedo ver el estado de distribución del plástico?,Cat_293,¿Cómo puedo ver el estado de distribución del plástico?
se puede poner plazo fijo si no soy cliente del banco,Cat_181,Puede establecer un plazo fijo si no soy cliente del banco
podrán pasarme algún numero telefónico para comunicarme,Cat_147,Puedes pasarme un número de teléfono para comunicarme
qué es lo más rentable para empezar a invertir?,Cat_178,¿Cuál es el más rentable para comenzar a invertir?
me aparecio un deposito en la cuenta que no es mio,Cat_55,apareció un depósito en la cuenta que no es mío
sos una mujer,Cat_27,tu eres una mujer
me interesa pedir un préstamo soy cliente del banco,Cat_223,"Estoy interesado en solicitar un préstamo, soy cliente del banco"
denuncia de tarjeta perdida,Cat_294,reclamo de tarjeta perdida
queria consultar debitar edenor,Cat_129,quería consultar edenor de débito
puedo comprar un auto año,Cat_228,¿puedo comprar un auto anual
yo tengo mi madre que quiere sacar un credito personal ella es empresaria. y quiere saber si puede adceder a un credito,Cat_248,"Tengo a mi madre que quiere obtener un crédito personal, ella es una empresaria. y quieres saber si puedes acceder a un crédito"
como hago para agregar límite a mi tarjeta de ccredito?,Cat_302,¿Cómo puedo agregar un límite a mi tarjeta de crédito?
necesito sacar plata cajero,Cat_287,Necesito retirar dinero del cajero automático
necesito activar transferencia,Cat_83,Necesito activar la transferencia
quiero darme de baja de un fondo común de inversión,Cat_175,Quiero retirarme de un fondo mutuo
queria saber como conocer el estado de un tramite?,Cat_118,quería saber cómo saber el estado de un procedimiento?
no me estan llegando las notificaciones de sorpresa,Cat_321,No recibo notificaciones sorpresa
cual es el valor de la tarjeta nueva,Cat_316,¿Cuál es el valor de la nueva tarjeta?
como puedo hacer para ver el resumen,Cat_138,¿Cómo puedo ver el resumen?
horario para compra -venta,Cat_166,horario de compra-venta
tarjeta credito contactless,Cat_291,tarjeta de crédito sin contacto
puedo reclamar un mal debito,Cat_135,puedo reclamar una deuda incobrable
si soy cliente y todavia no me llego el resumen de cuenta de la tarjeta visa,Cat_138,Si soy cliente y el resumen de la cuenta de la tarjeta Visa aún no ha llegado
le tengo que avisar al banco para que vaya a tasarla?,Cat_216,¿Tengo que notificar al banco para que lo evalúe?
renovacion plastico,Cat_316,renovación plástica
no se me visualiza un pago en pagomiscuentas,Cat_131,No veo un pago en mi cuenta
que requisitos tengo que tener para un prestamo de pesos,Cat_248,¿Qué requisitos debo tener para un préstamo en pesos?
he recibido tarjeta visa. que yo no solicite . como debo proceder,Cat_310,He recibido una tarjeta de visa. que no solicito como debo proceder
queria saber si mi tarjeta es women o no y como puedo acceder,Cat_357,Quería saber si mi tarjeta es femenina o no y cómo puedo acceder
que es santander duo? soy cliente infnity del banco,Cat_139,¿Qué es el Santander Duo? Soy un cliente infinito del banco
se puede elegir una casa prefabricada?,Cat_214,¿Puedes elegir una casa prefabricada?
quiero agregarle plata a un fci,Cat_176,Quiero agregar plata a un fci
cuanto duran los comodines?,Cat_322,¿Cuánto duran los comodines?
quiero reclamar comisiones,Cat_97,Quiero reclamar comisiones
me entraron y me robaron la bicicleta  me cubre?,Cat_265,se metieron en mí y robaron la bicicleta me cubre?
si nesecito ver mi resumen,Cat_138,Si necesito ver mi resumen
donde inscribirme para desarrllo urbanisticos?,Cat_200,¿Dónde registrarse para el desarrollo urbano?
en el home banking del banco me da error,Cat_117,en la banca local del banco me da un error
no se que tipo de tarjeta tengo como puedo averiguarlo,Cat_75,"No sé qué tipo de tarjeta tengo, ¿cómo puedo averiguarlo?"
