clean_txt,Intencion
como ingrsar a mi cuenta,Cat_3
quiero que me mejoren la tasa de interes de un plazo fijo,Cat_184
cargos y mantenimiento,Cat_96
poder aumentar monto definir servicio debitar,Cat_106
para cerrar la cuenta tengo que tener todo al dia,Cat_41
que es el bic,Cat_34
queria saber la ubicacion de mi tarjeta visa,Cat_293
quiero resolver mi deuda en una tarjeta,Cat_192
se puede comprar lebacs en la app,Cat_157
costo de mantenimiento de tarjeta de credito,Cat_340
resumir visa santander limite adelanto efectivo significar,Cat_303
cuando saco el credito la propiedad tiene que estar a nombre de los que acreditan los ingresos,Cat_256
quiero transferir de mi cuenta en dolares a una cuenta en la federacion rusa,Cat_36
quiero depositar el sueldo en santander que tengo que hacer,Cat_72
actualmente tengo mi cuenta sueldo en el banco cuales son los requisitos para acceder al credito,Cat_248
puedo dar de baja mi cuenta si tengo un prestamo pendiente,Cat_41
blanquear clave,Cat_1
los plasticos de mi tarjeta de debito y credito estaban para la entrega,Cat_293
puse mal mi clave y se me bloqueo la tarjeta,Cat_286
encontre un cargo facturado erroneamente,Cat_112
me llegue una visa del banco pero no me interesa cambiarme,Cat_310
quiero registrar mi compania de celular,Cat_103
va a existir un tope en la tasa del credito hipotecario,Cat_258
necesito tarjeta coordenado transferencia,Cat_83
queria consultarte si se puede cancelar una transferencia que hice hace unos instantes,Cat_82
como obtengo la clave banelco,Cat_288
cuales son los servicios de emergencia del hogar,Cat_265
no funciona el modulo de transferencias,Cat_80
cuanto puede tardar en salir un superprestamo,Cat_243
se me vence la tarjeta y no me llego la nueva,Cat_316
tengo una tarjeta de credito de santander rio visa platinum y queria saber si esta habilitada,Cat_301
queria saber si me otorgan algun prestamo,Cat_248
por que no se realizaron los debitos automaticos de mis servicios adheridos,Cat_129
quiero consultar ultimos movimientos y me da que no esta disponible,Cat_117
que es la uva,Cat_108
deuda de tarjetas de ccredito,Cat_99
el prestamo hipotecario que me otorgan incluye gastos de boleto de compra,Cat_210
querer cambiar clave,Cat_1
como compro bonar,Cat_157
numero hablar representante,Cat_147
necesito monto saldo tarjeta,Cat_303
eliminar cuenta sucursal no utilizar,Cat_41
no se acreditaron los puntos de superclub,Cat_330
me llegue el regalo q canje por puntos y vino roto a quien le reclamo,Cat_329
me avisaon por mail de una compra que yo no hice,Cat_112
yo genere el token de seguridad y me lo olvide como hago para hacerlo de nuevo,Cat_5
reclamo super club,Cat_135
querer mandar tarjeta credito visa,Cat_293
poliza enviar mail direccion postal equivocado,Cat_267
queria saber si puedo sacar un prestamo para arreglar mi casa,Cat_248
escribo para consultar como puedo hacer para dar de bajar algunos servicios que tengo asociados al debito automatico,Cat_292
quisiera solicitar la tarjeta de santander rio,Cat_337
quiero abonar mis tarjetas visa y amex,Cat_342
el viernes vendi mis papeles de minetti me decis si se concreto la operacion,Cat_167
las hipotecas para perfabricadas estan autorizadas,Cat_214
el servicio por mantenimiento se paga todos los meses,Cat_96
quiero bajar el descubierto,Cat_57
quiero comprar bonos,Cat_157
tengo un reclamo por un seguro,Cat_135
generar alerta de saldo,Cat_125
cambiar la clave de letra,Cat_288
pagar vep figurar cur informar no validar,Cat_132
estoy adherido al debito automatico de los servicios pero no me descuentan ninguno aun y se me estan venciendo todos q debo hacer,Cat_129
dar de alta un servicio al debito automatico,Cat_132
donde puedo retirar el plastico,Cat_293
puedo contempplar los ingresos de mi conyuge en el prestamo prendario,Cat_254
como financio el resumen de mi tarjeta santander ccredito,Cat_308
quiero saber mi tipo de cuenta,Cat_75
como saco la plata de un fci,Cat_175
quiero que me renueven capital e interes del plazo fijo que se me vencio,Cat_181
que te piden para cobrar en santander,Cat_72
hice un pago en euros y aun no llegue al exterior,Cat_35
querer cancelar recargar celular equivocar numerar,Cat_129
quiero saber que margen tengo con la tarjeta,Cat_303
como esta la tasa de los plazos fijos,Cat_183
upgrade de servicios,Cat_86
no se pago una factura de telefonica adherida a debito automatico american express,Cat_129
como es debito automatico para servicios publicos,Cat_132
quisiera enviar mi curriculum,Cat_102
queria informacion sobre los prestamos personales no soy cliente,Cat_225
quiero saber cuanto es el monto de mis creditos para poder saldar el total,Cat_246
me duplicaron una compra con la de debito,Cat_112
necesito dar de baja la tarjeta de ccredito,Cat_338
el numero de la super linea,Cat_147
quiero preguntar por el costo del mantenimiento de la cuenta,Cat_96
queria saber sobre los canjes de superclub,Cat_322
no me alcanza el capital que me dan en el credito personal,Cat_196
una adhesion al debito automatico y queria saber si la factura que vence ahora se debita,Cat_106
mandaron mensaje deuda santander,Cat_193
pagar celular,Cat_132
me podrian decir si hay una transferencia emitida desde el exterior a mi nombre,Cat_33
cargo transferencia internacional,Cat_31
como sacar dinero sin la tarjeta de debito,Cat_295
entrar debitar tarjeta visa,Cat_38
costo mesas de trabajo,Cat_149
cuando terminan con el mantenimiento,Cat_124
perdi clave de cajero,Cat_288
puedo elegir el lugar para firmar la escritura,Cat_207
mudar seguro banco cambiar dato,Cat_267
en cuantos aanos se tiene que devolver el prestamo prendario,Cat_242
no puedo hacer la clave home bankin ya intente de barias formas y no puedo,Cat_1
que precio tiene la cuenta,Cat_96
telefono de sector black,Cat_147
toman el valor del tasador o de la inmobiliaria,Cat_217
como hacemos con el prestamo si vendo el auto,Cat_260
el tema de los descuentos se aplican al total de resumen o x compra individual,Cat_311
hice una transferencia internacional y todavia no aparece el dinero transferido,Cat_35
quiero pagar mi tarjeta con una cuenta de otro banco,Cat_342
cuando vencen los fondos,Cat_158
pin tarjeta de debito,Cat_288
como hago para sumar millas,Cat_274
como hago para recargar mi tarjeta red bus,Cat_132
no puedo ingresar al homebanking desde mi casa,Cat_117
como puedo acer para sacar un prestamo,Cat_223
no veo el resumen de cuenta,Cat_138
puedo sacar entradas de preventa con mi tarjeta aunque no sea select,Cat_311
como es el ejemplo del ajuste para prestamo hipotecario,Cat_229
no me aparecen comprobantes de debitos automaticos,Cat_98
que elementos se toman en cuanta para poder definir el monto del prestamo hipotecario,Cat_251
necesito habilitar mi tarjeta de credito figura como habilitada en visa pero no me deja operar,Cat_301
que pasos hay que seguir para cobrar un cheque en dolares,Cat_30
queria saber por que me inhabilitaron mi tarjeta de debito,Cat_286
existe prestamo hipotecario para construccion,Cat_228
no recibo el resumen de cuenta havce meses ni por mail ni por correo,Cat_138
puedo utilizar mi visa debito en el exterior,Cat_289
me llegue un mensaje que me reclamaba el pago de la tarjeta,Cat_279
opcion para abonar deuda tarjeta de credito,Cat_192
beneficio debito impuesto y servicio,Cat_132
di de baja un debito y me siguen cobrando,Cat_292
quisiera saber como hacer para aumentar el limite de extracion de mi tarjeta de debito,Cat_287
no me llego una tranferencia que me acaban de hacer,Cat_77
que tiempo demora el desbloqueo de cuenta,Cat_51
por que no soy black,Cat_142
no puedo ver mi resumen de american,Cat_138
me suscribi a sorpresa porque era gratis y ahora resulta que cobran comision,Cat_90
tengo mis tarjetas vencidas como puedo hacer para recibir las vigentes,Cat_316
no podia realizar una transferencia a un destinatario habitual,Cat_80
cuanto demora el proceso de otorgamiento del prestamo prendario,Cat_243
puedo ir personalmente a conocer el estado de mi credito,Cat_215
quiero consultar sobre un credito personal requisitos,Cat_248
como hago para comprar dolares por homebanking,Cat_166
no puedo pagar con mi tarjeta de debito,Cat_286
cobro de reposicion de tarjeta,Cat_316
cuanto tiempo puede tardar llegarme la tarjeta nueva,Cat_294
beneficio pintureria,Cat_311
necesito asesoramiento para invertir,Cat_178
a que sector de la pagina debo ingresar para ver el resumen de la tarjeta de ccredito,Cat_138
necesito adherir a debito de la tarjeta visa de credito dos servicios,Cat_132
no trabajo en relacion de dependencia soy autonomo queria saber si puedo acceder acceder a un prestamo hipotecario,Cat_248
quiero saber porque no m llega el resumen d mi tarjeta,Cat_138
no me funciona el home banking,Cat_117
como me contacto con un operador por telefono,Cat_147
global value tiene costo,Cat_141
realice un canje por equivocacion,Cat_331
no soy cliente del banco pero puedo solicitar un prestamo igual,Cat_248
queria saber si quedan entradas para el partido para canjear por superclub,Cat_332
quiero pagar tarjeta naranja por este sistema,Cat_132
me decis como es advantage de que se trata,Cat_277
atraso pago tarjeta,Cat_192
con santander rio tengo 2x1 cine mark san justo hoy sabado,Cat_311
como hago para realizar una transferencia,Cat_84
queria saber si ya se encuentra la chequera que solicite,Cat_45
quiero pagar mi tarjeta con una cuenta de otro banco,Cat_342
otro pai¬=s pedir pin usar tarjeta,Cat_289
quiero poner en debito la patente del auto,Cat_132
quisiera saber cuanto seria la cuota del personal pagando en cuotas,Cat_251
queria saber si hay alguna novedad respecto a mi reclamo,Cat_135
envian la poliza original a mi domicilio,Cat_266
necesitaria consultar estado tarjeta credito,Cat_293
retencion ingresos brutos arba de una cuenta espejo,Cat_122
queria realizar debitar automatico boleta ecogas,Cat_129
como hago para visualizar la rentabilidad de los fondos de inversion,Cat_174
me decis cuanto tarda en acreditarse una transferencia,Cat_77
cambiar mi seguro automotor,Cat_268
bloquee la clave del cajero como hago ahora,Cat_288
se puede vender la propiedad antes de finalizar el pago del credito,Cat_260
desear activar pago servicio debito automatico cuenta,Cat_132
para acceder a un prestamo personal,Cat_223
que niveles de ingreso debo tener para acceder a un credito,Cat_249
como ver mi resumenes mensuales,Cat_138
como saber si tengo credito en mi tarjeta,Cat_303
necesito pagar mi tarjeta y no tengo la factura como hago,Cat_342
compromiso de pago,Cat_191
olvide mi clave de tarjeta,Cat_288
como obtengo mi clave pin para twrjetas de credito,Cat_288
es necesario dar de alta la tarjeta una vez que tengo la tarjeta,Cat_301
no me figura un vep generado en pago mis cuentas de afip,Cat_129
necesitar saber porque debitar deuda pendiente,Cat_115
queria dar de baja un seguro que esta en mi tarjeta de credito,Cat_262
esta adherido pero no figura en el listado de shoppings,Cat_311
no quiero mas recibir correo fisico,Cat_138
incrementar monto extraer cajero,Cat_287
se puede cambiar de surcursal de banco,Cat_65
necesito entrar en resumen targetas visa y american,Cat_138
caja ahorro costo mensual,Cat_96
quiero cobrar pero todavia no acreditaron el sueldo,Cat_62
para ser seleccionado en procrear como tengo que hacer,Cat_200
la sucursal cerrada por reformas a cual otra puedo ir,Cat_91
transferencia costo,Cat_83
necesito parar el debito automatico del monotributo,Cat_145
cerrar cuenta darme bajo santander necesario pagar tarjeta,Cat_41
sucursal aparece comision cajero no corresponde,Cat_97
no hay un asistente real para atender mi consulta,Cat_29
no sabia que me iban a debitar por el programa de millas,Cat_276
activar la tarjeta para uso en el exterior,Cat_304
por un total de pesos como seria la cuota,Cat_251
quiero contratar un seguro de vivienda,Cat_261
quiero saber si las cuotas del prestamo son fijas,Cat_219
quiero dar de baja un impuesto q pago con la visa,Cat_292
comision de tarjeta,Cat_96
bonificacion de combustible,Cat_311
quiero un ccredito hipotecario,Cat_223
cual es el bank country code,Cat_34
cuando se le acredita el dinero al destinatario,Cat_77
se pueden negociar los intereses de un plazo fijo,Cat_184
que es esto que me aparece nuevo de servicios poder de compra,Cat_186
como se si se tomo la habilitacion para mi viaje a buzios,Cat_304
el banco opera en lebac por online banking,Cat_157
solicitar caja ahorro euros,Cat_39
quiero saber mi millaje actual por a a,Cat_275
desde la app se puede pedir el prestamo,Cat_223
cargo recibir transferencia internacional,Cat_31
tenia santander volver,Cat_39
quierotelefono comunicarme visa santander,Cat_147
me robaron los cheques,Cat_48
quisiera saber si el agua la luz y el gas vienen debitados para este mes,Cat_93
mi consulta es que requisito necesiteria para el prestamo,Cat_248
quieronumero telefono american express,Cat_147
quisiera saber al poner un pago en stop debit cuanto dura esta funcion,Cat_353
queres denunciar un siniestro,Cat_265
que tengo que hacer para recuperar un fondo,Cat_175
algun numero telefono llamar,Cat_147
quisiera saber si continua la promocion en kansas con tarjeta black,Cat_311
que nescesito para abrir una cuenta en el banco,Cat_39
no trabajo en relacion de dependencia soy autonomo queria saber si puedo acceder acceder a un prestamo hipotecario,Cat_248
necesito saber cual es el pim para el adelanto con tarjeta de ccredito,Cat_288
giros desde el exterior,Cat_32
como hago para pagar una factura con la tarjeta,Cat_132
agenda coincidir pagar,Cat_129
quiero dar de baja el debito automatico de aysa,Cat_292
puedo obtener un prestamo para cancelar la deuda que tengo con mi tarjeta,Cat_228
tarjeta nova para adolescentes,Cat_306
la aprobacion de un prestamo hipotecario contempla varios recibos de sueldo,Cat_249
viernes santo esta abierto,Cat_114
baja de debito automatico de la patente en mi tarjeta visa,Cat_292
un descuento no aplicado,Cat_312
la tasa es fija en prestamos prendarios,Cat_258
que debo presentar como examen medico para la solicitud de un prestamo hipotecario,Cat_208
queria numero telefonico cobranzas,Cat_194
margen tarjeta,Cat_303
necesito saver si califico o no para un prestamo,Cat_248
saber prestamo de en cuotas,Cat_251
por que al comprar en el supermercado se me solicita autorizacion,Cat_283
puedo pasar por cualquier sucursal a pedir una constancia de cbu firmada por algun empleado del banco,Cat_42
pendiente tarjeta credito recibirlas,Cat_293
que es actualizacion de supervivencia,Cat_88
quien pude sacar un credito procrear,Cat_200
a donde tengo que hablar por un cambio de radicacion de cuenta,Cat_65
me bloquearon la amex,Cat_286
cuando pagan el argentina,Cat_158
centro select,Cat_147
queria consultar para poder obtener un ccredito personal soy cliente del banco,Cat_223
quiero que me avisen por mail cada vez que efectuo consumos con la tarjeta,Cat_125
si no tengo dni puedo abrir cuenta con precaria y cuil,Cat_39
quiero saber la deuda de una tarjeta de ccredito,Cat_279
los cajeros autoservicios que horario tienen,Cat_91
quiero tramitar la devolucion de mis puntos superclub,Cat_331
que opciones de bonos tienen,Cat_159
averiguar limite comprar exterior tarjeta debito,Cat_303
queria consulta mi tarjeta de devuto se eata por venser,Cat_316
quiero las tarjetas negras que suman millas,Cat_274
tope gastar tarjeta credito,Cat_303
no me deja realizar el pago de la tarjeta,Cat_279
como recargo la tarjeta sube,Cat_132
sin cuenta bancaria como pago la tarjeta,Cat_342
que condiciones me piden para invertir en lebacs,Cat_159
como hago para ver mis debitos automaticos,Cat_93
cual es el valor de la tarjeta nueva,Cat_316
modificar poliza confundir nombre,Cat_267
que significa el ajuste por inactividad de los puntos,Cat_323
tengo un seguro de vivienda me cubre el router que se quemo con la ultima tormenta electrica,Cat_265
queria saber que beneficios tengo si paso a cobrar mis haberes por este banco,Cat_72
recibi transferencia exterior cobrar peso gustaria,Cat_31
quiero hablar con una persona,Cat_29
cobro de renovacion de tarjeta,Cat_340
telefono atencion telefonica,Cat_147
como funciona el descubierto,Cat_56
quiero hacer un reclamo por un canje de puntos super club,Cat_135
adelanto de sueldo puedo solicitar,Cat_57
cuales son los banco intermediarios,Cat_32
querer alto pagar servicio debitar automatico tarjeta amex,Cat_132
donde apunto mis datos personales para saber si puedo acceder al prestamo,Cat_248
anule un servicio y me lo siguen debitando,Cat_292
como retirar un adelanto del cajero,Cat_298
queria consultar que tramite hay que realizar para renovar la tarjeta de debito,Cat_316
no quiero revibir mas el resumen en papel sino por mail,Cat_138
necesito transferencia santander nacion,Cat_83
numero para comunicarme,Cat_147
costo extracion,Cat_96
quiero comprar una unidad okm,Cat_228
porque el banco no me ofrece la tarjeta black,Cat_40
cual es la diferencia entre plazo i y plazo ii,Cat_172
informacion cuenta,Cat_61
cuando mandar tarjeta,Cat_293
dinero retirar cuenta cajero,Cat_303
querer informacion adherir servicio debitar automatico,Cat_132
como se cuando es el vencimiento de la proxima cuota del prestamo hipotecario,Cat_239
si yo cobro cuanto me dan y cuotas de prestamo para la casa,Cat_251
necesito desbloquear mi tarjeta de debito y generar una nueva contrasena,Cat_288
quiero cambiar mi cbu,Cat_42
abren en los feriados,Cat_114
que costo tiene la extracion en otros cajeros,Cat_96
quiero consultar sobre plazo fijo en uusds,Cat_183
pedi la reimpresion de tarjeta debito ya que la misma se encuentra deteriorada,Cat_316
quiero canjear en superclub un atornillador electrico y retirarlo en sucursal dot no recibirlo en mi domicilio es posible,Cat_322
dudar movimiento,Cat_115
quiero saber que beneficios tengo en peluquerias,Cat_311
quiero comprar un auto,Cat_228
pasar una cuenta a cuenta universidad,Cat_359
queria dar de baja un seguro que contrate,Cat_262
consultar envio tarjeta,Cat_293
como se si se acredito el pago de la tarjeta de ccredito,Cat_279
necesito el monto que estoy debiendo de mi tarjeta,Cat_342
que tengo que hacer para tramitar una cuenta corriente,Cat_39
quiero reclamar por un seguro que yo no pedi y que me estan cobrando,Cat_264
cual es la mejor y mas rentable inversion,Cat_178
que pasa si el aumento de la cuota del prestamo hipotecario hace que no pueda mantener pagando ese monto puedo estirar el plazo cuanto tiempo,Cat_230
como averiguo el riesgo de un fondo,Cat_173
como puedo vender un bono,Cat_163
poder pasar numero comunicarme santander,Cat_147
comision extracion cajero,Cat_96
saber consultar saldo mi tarjeta credito,Cat_303
en todas las marcas aplica el descuento o solo las que estan adheridas a la promo,Cat_311
quieroingresar telefono superlinea constantemente documentar incorrecto,Cat_147
me contacto para dar de baja la cuenta,Cat_41
el descuento es solo para credito o pagando con debito tambien,Cat_311
verificar el estado de mi reclamo,Cat_135
no se como se cobran las cargas sociales de la senora que me ayuda en casa,Cat_60
solicite el stop debit,Cat_353
vos me podes decir cual es mi sucursal,Cat_100
alfanumerica,Cat_288
arme un fondo en dolares queria saber si esta adecuado que lo deje ahi,Cat_178
necesito restablecer las claves de la tarjeta estan todas bloqueadas,Cat_288
como puedo simularlo,Cat_251
cuales son las condiciones generales del prestamo,Cat_225
necesito activar una extencion de tarjeta,Cat_301
el online banking no me permite hacer una transferencia a un proveedor desde la semana pasada,Cat_80
que me cubre el seguro de desempleo,Cat_265
select necesito telefono consultar,Cat_147
quiero mi prestamo personal pero no soy cliente,Cat_248
si entro a online banking con mi cuenta veo una cantidad de puntos incorrecta,Cat_325
quiero abrir una cuenta en el banco que debo hacer,Cat_39
necesitar pagar mantenimienrto,Cat_96
ticket para atencion en caja no lo encuentro,Cat_148
comprometo pagar,Cat_191
realice el pago de mis tarjetas de credito y no figura el movimiento,Cat_279
telefonos de visa y amex,Cat_147
requisito necesito abrir extranjero,Cat_39
quiero saber cuanto dura el proceso completo de aprobacion del prestamo hipotecario,Cat_243
mi nombre tiene,Cat_23
por cuanto seria la cuota y que plazos,Cat_251
cancelar anticipar tarjeta,Cat_342
ahorros en combustible,Cat_311
tenia una cuenta desde antes del pero me la cambiaron tambien tengo los beneficios de selct,Cat_142
horarios de atencion telefonica,Cat_147
quiero cambiar al programa advantage pierdo mis puntos superclub,Cat_299
describime las letes,Cat_159
debito automatico no realizado,Cat_129
tracking tarjeta,Cat_293
necesito renovar el stock de lebacs,Cat_162
di la baja de mi poliza por olb porque me la siguen cobrando,Cat_263
de cuanto es el valor de la cuota de hipoteca,Cat_219
quiero solicitar una nueva tarjeta de debito,Cat_316
como hago para usar la banelco en el exterior,Cat_289
el descuento es solo para credito o pagando con debito tambien,Cat_311
que tasa tengo si recurro a un acuerdo de sobregiro,Cat_56
quiero hacer un reclamo por una tarjeta que no llego,Cat_293
consulta sobre estado de entrega de tarjeta american express,Cat_293
querer adherir debito automatico visa pagar prepaga,Cat_132
para solicitar la reimpresion de la tarjeta de debito,Cat_316
como cambio la clave de la tarjeta de debito,Cat_288
necesito tarjeta debito,Cat_39
las extensiones que pedi no me funcionan,Cat_301
querer darme bajo,Cat_41
hace mas de dias solicite una chequera y no me llego,Cat_45
necesito la factura de mi targeta de credito,Cat_138
quiero saber por que me denegaron la compra,Cat_286
me excedi en el pago pague de mas se puede devolver o tendria que esperar,Cat_347
donde compro las entradas que promocionan en santander,Cat_354
poner debito de servicios publicos automaticos,Cat_132
quiero comenzar a operar con bonos,Cat_157
ya me pagaron el sueldo pero no esta en el sistema,Cat_62
me llamaron por telefono queria saber que paso,Cat_146
no puedo hacer la clave por internet de homebanking,Cat_1
los premios no tienen nada que ver con lo que muestra el catalgo,Cat_329
me pueden mandar las polizas,Cat_266
quiero saber por que mis tarjetas estan sin limites,Cat_303
queria saber si siguen el miercoles mujer,Cat_311
cuales son los beneficios que ofrecen,Cat_311
quiero cerrar la pagina,Cat_0
quiero cambiar de compania aseguradora,Cat_261
numeros de asistencia en el extranjero,Cat_147
me conviene comprar titulos publicos o privados,Cat_178
estoy por cambiar la camioneta y queria saber que posibilidades habria para tomar un prestamo,Cat_228
queria saber la resolucion de mi reclamo,Cat_135
tarjeta debitar tendra retencion number comprar espana,Cat_289
hago reglamo por cobro de la renovacion,Cat_97
super prestamo para clientes,Cat_225
quisiera renovar la tarjeta visa porque esta ilegible,Cat_316
querer recargar sube,Cat_132
como averiguo condiciones de un credito personal,Cat_225
quiero cambiar de sucursal mi cuenta esta radicada en suc canitas y quiero pasar a la sucursal j b justo,Cat_65
el cajero banelco me retuvo la tarjeta y me descontaron dinero,Cat_297
puedo usar mi tarjeta en mi viaje al exterior,Cat_289
como sumo millas haciendo compras,Cat_274
queremos comprar un camion 0km como seria el prestamo y la cuota ya que el valor es de,Cat_251
el seguro del hogar cubre a la cumputadora que se quemo por tension electrica,Cat_265
queria consultar el nro de cuenta de mi visa ccredito,Cat_344
quiero saber el porcentaje de financiacion sobre el valor de un auto,Cat_245
sueldo mensual sacar tarjeta credito,Cat_337
me estan mandando la tarjeta de debito por el correo es que yo no me encuentro en mi domicilio,Cat_318
pagar expensas,Cat_132
quiero saber si se realizo el cambio de afinidad de mi tarjeta de credito visa,Cat_300
no me depositaron mis letes,Cat_172
bien entonces las salas no tienen costo,Cat_70
como le doy de baja a unos seguros que no habia solicitado,Cat_264
no veo la plata en la cuenta de mi plazo fijo,Cat_185
recibo promociones de visa contactless pero no creo tener esa tecnologia en mi tarjeta,Cat_291
queria preguntar por que no se debitaron automaticamente impuestos agendados,Cat_129
necesito saber si ya esta mi cobro mensual juvilatorio,Cat_50
cuanto tarda en llegar la adicional,Cat_293
quiero consultar x los descuentos,Cat_311
como hago para invertir en un fondo comun de inversion,Cat_176
necesitaba saber cuantos cuotas me restaban para completar una compra,Cat_101
quisiera solicitarles informacion necesaria para realizar un pago o transferencia al exterior desde mi cuenta en santander rio,Cat_36
me llego la tarjeta de debito que clave utilizo para comenzar a operar,Cat_288
poner clave bloquear,Cat_1
como y cuando se acredita el dinero del prestamo personal,Cat_226
como hacer cierre de cuenta,Cat_41
cuales son los pasos para acceder a un prestamo hipotecario,Cat_241
un bono me desaparecio de la cuenta,Cat_187
como pagar la tarjerta de credito por el terminal autoservicio,Cat_342
se pueden sacar entradas de preventa sin ser select,Cat_311
beneficios con la tarjeta de ccredito,Cat_311
como hago para saber si la orden de compra de los bonos fue aceptada o no,Cat_167
que es debin o credin,Cat_54
como hago para sacar dinero de mi cuenta si no tengo la tarjeta de debito,Cat_295
debo acreditar el del ingreso inicial para solicitar un prestamo hipotecario,Cat_245
quiero consultar por los fondos de inversion,Cat_173
sos una ia,Cat_26
como hago para ampliar monto de compras de una tarjeta adicional,Cat_335
saque un seguro de vivienda y el edificio tiene la puerta con llave electronica eso significa que no me cubre,Cat_265
como se actualizan las uvas,Cat_108
si pague lo minimo de mi tarjeta cuanto tardan en habilitarla nuevamente,Cat_279
alto debito automatico tarjeta,Cat_87
quiero consultar por un prestamo no soy clienta del banco,Cat_248
quiero sacar mi tarjeta de ccredito por intermedio de la facultad,Cat_359
quisera saber como hago para dar de baja un debito automatico que tengo en mi tarjeta de credito,Cat_292
quiero un cred para comprar un auto,Cat_223
querer comunicarme deja clave acceso bloquear,Cat_1
los gastos de otorgamiento y administrativos se deducen del prestamo hipotecario otorgado,Cat_231
cuanto tardan en darme el alta en el programa de millas,Cat_272
necesitar pagar cuenta,Cat_132
descontar cuenta sueldo no se,Cat_115
recibi mi tarjeta de debito pero no recibi la clave,Cat_288
el correo no envio mi tarjeta american express a mi domicilio,Cat_293
como hago para pedir una nueva tarjeta de debito,Cat_316
nesecito un turno con el banco,Cat_148
quiero consultar los requisitos para poder realizar un adelanto de haberes,Cat_57
no me debitaron la cuota del credito hipotecario,Cat_239
mi tarjeta de debito se vencio en agosto y ya estamos en septiembre y no a llegado como ago,Cat_316
veo que mis tarjeta de credito y de debito estan por vencerce y quisiera dar otra direccion para que me las envien es posible,Cat_318
ya no me mandan mas mensajes y ahora no se cuando hay promocion sorpresa,Cat_321
ccredito preacordado,Cat_225
page el minimo y kiero financiar,Cat_308
si estas en el veraz el prestamo te lo dan igual,Cat_244
becas para estudiantes universitarios,Cat_358
que es super prestamos prendario,Cat_225
si quiero saber si tengo credito en mi tarjeta,Cat_303
pagar edesur error pagar medio anular pagar,Cat_129
en que cajeros automaticos se pueden retirar dolares,Cat_91
haceme la baja de un seguro por desempleo,Cat_262
necesario obtener caja ahorro pesoss,Cat_39
cobertura en alquiler de auto,Cat_141
me empezaron a cobrar por aadvantage sin avisar,Cat_276
cuales son los requisitos necesarios para solicitar un prestamo prendario,Cat_248
necesito saber cuanto cuesta mensualmente una cuenta corriente para mi negocio,Cat_96
como genero mi clave para la tarjeta de credito visa,Cat_288
tengo la tarjeta paga este mes,Cat_279
para impresion de la de debito,Cat_316
como son los prestamos,Cat_225
puedo acceder a prestamo,Cat_223
a que hora se puede depositar en cajero autoservicio,Cat_110
quise cambiar la contrasena de mi tarjeta visa debito cambie de contrasena desde un cajero y se me inhabilito,Cat_288
quiero trasnferir y no tengo la tj de coordenadas,Cat_5
cheque electronico,Cat_59
quiero pagar el total de un prestamo,Cat_246
hacer una simulacion de prestamo,Cat_251
como se cuanto tengo de saldo a pagar en la visa,Cat_342
servicio poder de compra,Cat_186
hay cuentas en euros,Cat_53
queria llegar tarjeta debito visa sucursal,Cat_293
falabella el descuento del no aparece el resumen,Cat_312
no llegar tarjeta santander llegar mail,Cat_293
si baja y sube la tension me cubren el seguro si se quema la heladera,Cat_265
cual es el telefono para regular la deuda que tengo,Cat_194
como funciona procrear,Cat_200
puedo solicitar un prestamo hipotecario si tengo propiedad a mi nombre,Cat_228
me pasas el number para averiguar por un credito soy cliente,Cat_225
quiero abonar la deuda con la tarjeta de credito,Cat_192
cuales son los requisitos para crear una cuenta,Cat_39
si yo puedo acseder a un prestamo,Cat_248
me han robado la tarjeta de coordenadas,Cat_294
priority pass,Cat_284
recargar saldo telefono celular,Cat_132
cual es el limite de pago con debito ya que no tomaba el total,Cat_303
queria consultar si los creditos hipotecarios estan restringidos a primera vivienda,Cat_228
que pasa si no acumulo millas por unos meses,Cat_274
quiero saber fechas de cierre y vencimiento de mi tarjeta de ccredito,Cat_341
necesito saber si mi cuenta esta activa,Cat_61
se puede hacer por una vivienda prefabricada hipotecando el terreno,Cat_214
con tarjeta platinum se accede a priority pass,Cat_284
si tengo otros creditos puedo igual pedir este prestamo,Cat_218
recibi una transferencia de una persona que no conozco,Cat_55
cuales son las condiciones de habitabilidad que debe poseer la vivienda,Cat_203
nunero banca telefonica,Cat_147
realice el cierre de esta cuenta hace unos dias necesito saber si ya tengo disponible para retirar el certificado de libre de deuda,Cat_64
como hago para constituir un plazo fijo,Cat_181
me llegue la tarjeta de debito y necesito el codigo para usarla,Cat_288
en que sucursal puedo comprar dolares,Cat_166
necesito un prestamo urgente pero no soy cliente actual,Cat_248
ttuve un siniestro con unos electrodomesticos y quise hacer la denuncia de siniestro por la pagina,Cat_265
quiero comprar letes,Cat_157
traer dinero del exterior,Cat_32
necesito hacerme una cuenta gratuita universal,Cat_39
es posible la compra de una propiedad dentro de un country con el prestamo hipotecario uvas,Cat_211
como retiro entradas a recitales,Cat_322
quiero cancelar un plazo fijo,Cat_182
no entiendo por que el banco me cobro intereses si tenia saldo negativo en mi cuenta cte,Cat_56
abri cuenta sueldo banco no recibi tarjeta,Cat_293
como se calcula la cuota del hipotecario uvas a abonar por mes,Cat_219
telefono para tarjeta visa platinum,Cat_147
viajar como usar tarjeta,Cat_289
como se si estoy usando el limite del descubierto,Cat_56
como adquirir lebacs,Cat_157
no pude recibir unos premios y quiero saber cuando vuelven a enviarlos,Cat_326
cambio cartera,Cat_348
