Pregunta,Intencion,Pregunta_T1,clean_txt,clean_txt_T1
arreglé para que retiraran los papeles esta semana pero al final no voy a estar como hago para cambiar la fecha?,Cat_317,¿Organicé la retirada de los documentos esta semana pero al final no voy a estar como lo hago para cambiar la fecha?,arregle para que retiraran los papeles esta semana pero al final no voy a estar como hago para cambiar la fecha,organice la retirada de los documentos esta semana pero al final no voy a estar como lo hago para cambiar la fecha
como consultar el préstamo personal,Cat_225,cómo verificar el préstamo personal,como consultar el prestamo personal,como verificar el prestamo personal
como hago para pagar iibb,Cat_132,¿Cómo pago por iibb?,como hago para pagar iibb,como pago por iibb
fecha de cierre de tarjeta de ccredito visa donde puedo averiguar,Cat_341,fecha de cierre de la tarjeta de crédito visa donde puedo averiguar,fecha de cierre de tarjeta de ccredito visa donde puedo averiguar,fecha de cierre de la tarjeta de credito visa donde puedo averiguar
llamo para hacer una orden de compra de acciones,Cat_151,Llamo para hacer una orden de compra de acciones,llamo para hacer una orden de compra de acciones,llamo para hacer una orden de compra de acciones
puedo solicitarr un préstamo hipotecario para una segunda vivienda?,Cat_228,¿Puedo solicitar un préstamo hipotecario para una segunda casa?,puedo solicitarr un prestamo hipotecario para una segunda vivienda,puedo solicitar un prestamo hipotecario para una segunda casa
queiro cerrar corriente dejar caja ahorro peso,Cat_41,Quiero cerrar el cuadro actual de ahorro de peso,queiro cerrar corriente dejar caja ahorro peso,quiero cerrar el cuadro actual de ahorro de peso
cuándo vencen mis letes?,Cat_158,¿Cuándo vencen mis permisos?,cuando vencen mis letes,cuando vencen mis permisos
queria saver como tengo que hacer.?xq se me venció mi tarjeta,Cat_316,Quería saber cómo hacerlo. xq mi tarjeta expiró,queria saver como tengo que hacer xq se me vencio mi tarjeta,queria saber como hacerlo xq mi tarjeta expiro
quiero cambiar el monto de estraccion del cajero,Cat_287,Quiero cambiar el monto del retiro de cajero automático,quiero cambiar el monto de estraccion del cajero,quiero cambiar el monto del retiro de cajero automatico
no comprendo,Cat_25,No entiendo,no comprendo,no entiendo
me quiero dar de baja de superclub,Cat_299,Quiero darme de baja del superclub,me quiero dar de baja de superclub,quiero darme de baja del superclub
consultar limite tarjeta,Cat_303,verificar tarjeta de límite,consultar limite tarjeta,verificar tarjeta de limite
soy estudiante. puedo sacar prestamo,Cat_248,Soy un estudiante. Puedo pedir prestado,soy estudiante puedo sacar prestamo,soy un estudiante puedo pedir prestado
quiero convertir la cuenta que tengo en una cuenta sueldo,Cat_72,Quiero convertir la cuenta que tengo en una cuenta salarial,quiero convertir la cuenta que tengo en una cuenta sueldo,quiero convertir la cuenta que tengo en una cuenta salarial
quisiera saber lo que adeudo,Cat_99,Me gustaría saber lo que debo,quisiera saber lo que adeudo,me gustaria saber lo que debo
quiero saber cuanto tengo q pagar de impuesto a la renta financiera por mis plazos fijos del,Cat_137,Quiero saber cuánto tengo que pagar del impuesto sobre la renta financiera por mis términos fijos del,quiero saber cuanto tengo q pagar de impuesto a la renta financiera por mis plazos fijos del,quiero saber cuanto tengo que pagar del impuesto sobre la renta financiera por mis terminos fijos del
queria consultar cuanto tarda en llegar la tarjeta de debito,Cat_293,Quería ver cuánto tarda la tarjeta de débito en llegar,queria consultar cuanto tarda en llegar la tarjeta de debito,queria ver cuanto tarda la tarjeta de debito en llegar
quiero aplicar a una busqueda,Cat_102,Quiero aplicar a una búsqueda,quiero aplicar a una busqueda,quiero aplicar a una busqueda
a donde pido un certificado de libre de deuda?,Cat_64,¿Dónde solicito un certificado libre de deudas?,a donde pido un certificado de libre de deuda,donde solicito un certificado libre de deudas
extensión de límite de extración,Cat_287,extensión límite de extracción,extension de limite de extracion,extension limite de extraccion
los originales de la documentacion para el préstamo hipotecario donde se presenta?,Cat_241,¿Los originales de la documentación del préstamo hipotecario donde se presenta?,los originales de la documentacion para el prestamo hipotecario donde se presenta,los originales de la documentacion del prestamo hipotecario donde se presenta
cual es la restriccón del monto que pueden darme en un préstamo personal?,Cat_249,¿Cuál es la restricción del monto que me puede dar en un préstamo personal?,cual es la restriccon del monto que pueden darme en un prestamo personal,cual es la restriccion del monto que me puede dar en un prestamo personal
fijar monto pagar tarjeta visa,Cat_342,establecer cantidad pagar tarjeta visa,fijar monto pagar tarjeta visa,establecer cantidad pagar tarjeta visa
cuanto es el monto máximo que ofrecen de credito?,Cat_236,¿Cuánto es la cantidad máxima de crédito que ofrecen?,cuanto es el monto maximo que ofrecen de credito,cuanto es la cantidad maxima de credito que ofrecen
com ago para tener un mayor descubierto,Cat_57,com hace tener un mayor descubierto,com ago para tener un mayor descubierto,com hace tener un mayor descubierto
cuando se actualiza la tasa de un prestamo prendario?,Cat_258,cuando se actualiza la tasa de un préstamo de compromiso?,cuando se actualiza la tasa de un prestamo prendario,cuando se actualiza la tasa de un prestamo de compromiso
necesito volver a imprimir la tarjeta de debito,Cat_316,Necesito reimprimir la tarjeta de débito,necesito volver a imprimir la tarjeta de debito,necesito reimprimir la tarjeta de debito
cuanto me cobran de interés por no pagar el total de la factura de la tarjeta,Cat_349,¿Cuánto me cobran por no pagar la factura completa de la tarjeta?,cuanto me cobran de interes por no pagar el total de la factura de la tarjeta,cuanto me cobran por no pagar la factura completa de la tarjeta
consulta  como se amplia el limite en descubierto de mi cuenta ?,Cat_57,¿Verifica cómo extender el límite de sobregiro de mi cuenta?,consulta como se amplia el limite en descubierto de mi cuenta,verifica como extender el limite de sobregiro de mi cuenta
me llamaron y no tengo idea el motivo,Cat_146,Me llamaron y no tengo idea de por qué,me llamaron y no tengo idea el motivo,me llamaron y no tengo idea de por que
cuanto debo pagar por un seguro de vida para mi,Cat_261,¿Cuánto debo pagar por el seguro de vida para mí?,cuanto debo pagar por un seguro de vida para mi,cuanto debo pagar por el seguro de vida para mi
telefono comunicarme firmar solicitud,Cat_147,aplicación de señal de comunicación telefónica,telefono comunicarme firmar solicitud,aplicacion de senal de comunicacion telefonica
yo cobro x el banco galicia quiero q me paguen en el santander,Cat_72,Cobro el banco Galicia Quiero que me paguen en Santander,yo cobro x el banco galicia quiero q me paguen en el santander,cobro el banco galicia quiero que me paguen en santander
el impuesto a las ganancias se toma en cuenta para el cálculo del préstamo hipotecario?,Cat_249,¿Se tiene en cuenta el impuesto sobre la renta para el cálculo del préstamo hipotecario?,el impuesto a las ganancias se toma en cuenta para el calculo del prestamo hipotecario,se tiene en cuenta el impuesto sobre la renta para el calculo del prestamo hipotecario
crear clave en cajero automatico,Cat_288,crear contraseña en cajero automático,crear clave en cajero automatico,crear contrasena en cajero automatico
hice mi denuncia por robo en y aun no me han pagado,Cat_270,Hice mi denuncia por robo y todavía no me han pagado,hice mi denuncia por robo en y aun no me han pagado,hice mi denuncia por robo y todavia no me han pagado
hay una comisión mal cobrada en mi tarjeta,Cat_97,hay un cargo incorrecto en mi tarjeta,hay una comision mal cobrada en mi tarjeta,hay un cargo incorrecto en mi tarjeta
no quedo tema limite tarjeta credito explicar,Cat_303,no hay límite de problema tarjeta de crédito explicar,no quedo tema limite tarjeta credito explicar,no hay limite de problema tarjeta de credito explicar
soy clieente y necesito consultar para comprar un terreno,Cat_228,Soy cliente y necesito consultar para comprar un terreno.,soy clieente y necesito consultar para comprar un terreno,soy cliente y necesito consultar para comprar un terreno
cursos de formación exclusivos para mujeres,Cat_357,cursos de entrenamiento exclusivos para mujeres,cursos de formacion exclusivos para mujeres,cursos de entrenamiento exclusivos para mujeres
quiero información comision comprar lebacs,Cat_96,Quiero información comisión comprar lebacs,quiero informacion comision comprar lebacs,quiero informacion comision comprar lebacs
necesitar saber esta plastico,Cat_293,necesita saber este plástico,necesitar saber esta plastico,necesita saber este plastico
como puedo hacer para que se me devite de la cuenta el pago del monotributo,Cat_132,¿Cómo puedo obtener el reembolso del pago de monotax de mi cuenta?,como puedo hacer para que se me devite de la cuenta el pago del monotributo,como puedo obtener el reembolso del pago de monotax de mi cuenta
que requisitos basicos debo cumplir para que me otorguen estos creditos?,Cat_248,¿Qué requisitos básicos debo cumplir para obtener estos créditos?,que requisitos basicos debo cumplir para que me otorguen estos creditos,que requisitos basicos debo cumplir para obtener estos creditos
quiero invertir en letes,Cat_157,Quiero invertir en leche,quiero invertir en letes,quiero invertir en leche
dan seguros por bicicletas?,Cat_261,¿Ofrecen seguro para bicicletas?,dan seguros por bicicletas,ofrecen seguro para bicicletas
ingresar pedir cambiar contraseña,Cat_1,ingresar solicitud cambiar contraseña,ingresar pedir cambiar contrasena,ingresar solicitud cambiar contrasena
estoy averiguando por la apetura de una caja de ahorro,Cat_39,Me estoy enterando de la apertura de una caja de ahorros,estoy averiguando por la apetura de una caja de ahorro,me estoy enterando de la apertura de una caja de ahorros
y si dono la casa despues de sacar el prestamo?,Cat_256,¿Qué sucede si dono la casa después de solicitar el préstamo?,y si dono la casa despues de sacar el prestamo,que sucede si dono la casa despues de solicitar el prestamo
comision caja ahorro dolar,Cat_96,comisión de ahorro en dólares del banco,comision caja ahorro dolar,comision de ahorro en dolares del banco
no encuentro el link para los desarrollos urbanisticos ,Cat_200,No encuentro el enlace para desarrollos urbanos.,no encuentro el link para los desarrollos urbanisticos,no encuentro el enlace para desarrollos urbanos
pagar afip,Cat_129,pagar afip,pagar afip,pagar afip
como modificar la poliza,Cat_267,cómo modificar la política,como modificar la poliza,como modificar la politica
que beneficios tengo por ser cliente del banco al solicitar un prestamo personal?,Cat_221,¿Qué beneficios tengo por ser un cliente bancario cuando solicito un préstamo personal?,que beneficios tengo por ser cliente del banco al solicitar un prestamo personal,que beneficios tengo por ser un cliente bancario cuando solicito un prestamo personal
dudas del préstamo procrear,Cat_225,las dudas sobre préstamos se procrean,dudas del prestamo procrear,las dudas sobre prestamos se procrean
solicitar información del estado de envio de la tarjeta de debito,Cat_293,solicitar información sobre el estado de entrega de la tarjeta de débito,solicitar informacion del estado de envio de la tarjeta de debito,solicitar informacion sobre el estado de entrega de la tarjeta de debito
estoy intentando pagar una compra online con mi tarjeta de debito y no puedo,Cat_290,Estoy tratando de pagar una compra en línea con mi tarjeta de débito y no puedo,estoy intentando pagar una compra online con mi tarjeta de debito y no puedo,estoy tratando de pagar una compra en linea con mi tarjeta de debito y no puedo
aumento limite de compra,Cat_302,aumento del límite de compra,aumento limite de compra,aumento del limite de compra
todavía no le di uso a unos dolares y quiero saber en que puedo invertirlos,Cat_178,Todavía no he usado unos pocos dólares y quiero saber dónde puedo invertirlos.,todavia no le di uso a unos dolares y quiero saber en que puedo invertirlos,todavia no he usado unos pocos dolares y quiero saber donde puedo invertirlos
donde pido la cuenta duo?,Cat_139,¿Dónde solicito el dúo de cuentas?,donde pido la cuenta duo,donde solicito el duo de cuentas
sobre vencimiento de mi tarjeta y cuando puedo retirar la que no es provisoria.,Cat_316,al vencimiento de mi tarjeta y cuando puedo retirar la que no es provisional.,sobre vencimiento de mi tarjeta y cuando puedo retirar la que no es provisoria,al vencimiento de mi tarjeta y cuando puedo retirar la que no es provisional
no puedo dar de alta la cuenta título,Cat_169,No puedo registrar la cuenta del título.,no puedo dar de alta la cuenta titulo,no puedo registrar la cuenta del titulo
deposito en euros,Cat_110,deposito en euros,deposito en euros,deposito en euros
necesitaba un usuario para visahome,Cat_356,necesitaba un usuario para visahome,necesitaba un usuario para visahome,necesitaba un usuario para visahome
ingresé un siniestro al sistema pero no tengo novedades,Cat_270,Ingresé un reclamo en el sistema pero no tengo noticias,ingrese un siniestro al sistema pero no tengo novedades,ingrese un reclamo en el sistema pero no tengo noticias
cual es el costo de precancelacion?,Cat_246,¿Cuál es el costo de la pre-cancelación?,cual es el costo de precancelacion,cual es el costo de la pre cancelacion
reclamar compra tarjeta,Cat_112,reclamar la tarjeta de compra,reclamar compra tarjeta,reclamar la tarjeta de compra
como puedo cargar credito a mi celular,Cat_132,¿Cómo puedo cargar crédito a mi teléfono celular?,como puedo cargar credito a mi celular,como puedo cargar credito a mi telefono celular
queria sacar una tarjeta. soy estudiante de la universidad catolica argentina,Cat_359,Quería obtener una tarjeta. Soy estudiante de la universidad catolica argentina,queria sacar una tarjeta soy estudiante de la universidad catolica argentina,queria obtener una tarjeta soy estudiante de la universidad catolica argentina
me pueden enviar un nuevo plastico ya que se me partio  la tarjeta vence en,Cat_316,"Puede enviarme un nuevo plástico ya que la tarjeta caduca, caduca en",me pueden enviar un nuevo plastico ya que se me partio la tarjeta vence en,puede enviarme un nuevo plastico ya que la tarjeta caduca caduca en
como acceder a un prestamo,Cat_223,cómo acceder a un préstamo,como acceder a un prestamo,como acceder a un prestamo
cambiar clave usuario,Cat_1,cambiar contraseña de usuario,cambiar clave usuario,cambiar contrasena de usuario
quiero saber que beneficios tengo en peluquerias,Cat_311,Quiero saber qué beneficios tengo en los salones de peluquería,quiero saber que beneficios tengo en peluquerias,quiero saber que beneficios tengo en los salones de peluqueria
puedo acceder a prestamo?,Cat_223,¿Puedo acceder a un préstamo?,puedo acceder a prestamo,puedo acceder a un prestamo
no pude hacer una compra con visa y la pagué con american express y me aparecio la compra en ambas tarjetas,Cat_112,No pude hacer una compra con una visa y pagué con American Express y la compra apareció en ambas tarjetas,no pude hacer una compra con visa y la pague con american express y me aparecio la compra en ambas tarjetas,no pude hacer una compra con una visa y pague con american express y la compra aparecio en ambas tarjetas
se puede solicitar un préstamo hipotecario para compra de departamento?,Cat_211,¿Se puede solicitar un préstamo hipotecario para comprar un apartamento?,se puede solicitar un prestamo hipotecario para compra de departamento,se puede solicitar un prestamo hipotecario para comprar un apartamento
puedo usar la tarjeta black para pedir el vip del aeropuerto?,Cat_284,¿Puedo usar la tarjeta negra para pedir el aeropuerto VIP?,puedo usar la tarjeta black para pedir el vip del aeropuerto,puedo usar la tarjeta negra para pedir el aeropuerto vip
yo queria saber como hago para sacar la tarjeta santander visa,Cat_337,Quería saber cómo puedo obtener la tarjeta de visa santander,yo queria saber como hago para sacar la tarjeta santander visa,queria saber como puedo obtener la tarjeta de visa santander
necesito modificar el día que vence la tarjeta.,Cat_348,Necesito cambiar el día en que vence la tarjeta.,necesito modificar el dia que vence la tarjeta,necesito cambiar el dia en que vence la tarjeta
no sé que clave poner en el cajero por primera vez,Cat_288,No sé qué contraseña poner en el cajero automático por primera vez,no se que clave poner en el cajero por primera vez,no se que contrasena poner en el cajero automatico por primera vez
soy parte de iu?,Cat_140,Soy parte de iu?,soy parte de iu,soy parte de iu
cuantas veces puedo financiar el resumen de mi tarjeta?,Cat_308,¿Cuántas veces puedo financiar el resumen de mi tarjeta?,cuantas veces puedo financiar el resumen de mi tarjeta,cuantas veces puedo financiar el resumen de mi tarjeta
a que número puedo llamar para hablar con ustedes?,Cat_147,¿A qué número puedo llamar para hablar con usted?,a que numero puedo llamar para hablar con ustedes,a que numero puedo llamar para hablar con usted
que porcentaje de la propiedad financia el banco en un préstamo hipotecario?,Cat_245,¿Qué porcentaje de la propiedad financia el banco en un préstamo hipotecario?,que porcentaje de la propiedad financia el banco en un prestamo hipotecario,que porcentaje de la propiedad financia el banco en un prestamo hipotecario
necesitaba saber si cambian pesos argentinos por chilenos?,Cat_166,¿Necesitaba saber si intercambian pesos argentinos por chilenos?,necesitaba saber si cambian pesos argentinos por chilenos,necesitaba saber si intercambian pesos argentinos por chilenos
queria saber cuanto estoy pagando por el servicio de la tarjeta,Cat_96,Quería saber cuánto pago por el servicio de tarjeta,queria saber cuanto estoy pagando por el servicio de la tarjeta,queria saber cuanto pago por el servicio de tarjeta
queria que me digan cómo pago el open credit,Cat_199,Quería que me dijeras cómo pago el crédito abierto,queria que me digan como pago el open credit,queria que me dijeras como pago el credito abierto
cómo puedo pagar un préstamo de forma virtual,Cat_239,¿Cómo puedo pagar un préstamo de forma virtual?,como puedo pagar un prestamo de forma virtual,como puedo pagar un prestamo de forma virtual
que beneficios tiene la tarjeta?,Cat_311,¿Qué beneficios tiene la tarjeta?,que beneficios tiene la tarjeta,que beneficios tiene la tarjeta
necesito que me confirmen por su sistema que servicios estan adheridos a mi cuenta para debito automatico,Cat_93,Necesito confirmación de su sistema sobre qué servicios están asociados a mi cuenta para débito automático,necesito que me confirmen por su sistema que servicios estan adheridos a mi cuenta para debito automatico,necesito confirmacion de su sistema sobre que servicios estan asociados a mi cuenta para debito automatico
me gustaria saber como sacar adelantos,Cat_57,Me gustaría saber cómo obtener anticipos,me gustaria saber como sacar adelantos,me gustaria saber como obtener anticipos
agendar cancelar deuda,Cat_191,programar cancelar deuda,agendar cancelar deuda,programar cancelar deuda
en que sección puedo simular el préstamo q' quizás necesite?,Cat_251,¿En qué sección puedo simular el préstamo que necesito?,en que seccion puedo simular el prestamo q quizas necesite,en que seccion puedo simular el prestamo que necesito
necesito dar de baja un debito directo de la tarjeta american express,Cat_292,Necesito cancelar un débito directo de la tarjeta American Express,necesito dar de baja un debito directo de la tarjeta american express,necesito cancelar un debito directo de la tarjeta american express
por movimientos de sircreb que son y por que me los descuentan?,Cat_122,para los movimientos de sircreb que son y por qué me descartan?,por movimientos de sircreb que son y por que me los descuentan,para los movimientos de sircreb que son y por que me descartan
mi tarjeta visa venció ayer y no me lo han debitado,Cat_346,mi tarjeta de visa expiró ayer y no se me ha cargado,mi tarjeta visa vencio ayer y no me lo han debitado,mi tarjeta de visa expiro ayer y no se me ha cargado
cuándo me llega el mail con el voucher?,Cat_333,¿Cuándo llega el correo electrónico con el cupón?,cuando me llega el mail con el voucher,cuando llega el correo electronico con el cupon
quiero saber si ya está mi cuenta activa,Cat_61,Quiero saber si mi cuenta ya está activa,quiero saber si ya esta mi cuenta activa,quiero saber si mi cuenta ya esta activa
quiero saber los costos de comisión de unas acciones,Cat_96,Quiero saber los costos de comisión de algunas acciones.,quiero saber los costos de comision de unas acciones,quiero saber los costos de comision de algunas acciones
realizé paso deja identificar,Cat_1,Realicé el paso vamos a identificar,realize paso deja identificar,realice el paso vamos a identificar
puedo decidir no avanzar con el credito hipotecario si ya me lo preaprobaron?,Cat_227,¿Puedo decidir no avanzar con el préstamo hipotecario si ha sido aprobado previamente?,puedo decidir no avanzar con el credito hipotecario si ya me lo preaprobaron,puedo decidir no avanzar con el prestamo hipotecario si ha sido aprobado previamente
necesito cambiar la contraseña de la tarjeta de débito. como puedo hacer ?,Cat_288,Necesito cambiar la contraseña de la tarjeta de débito. Como lo puedo hacer ?,necesito cambiar la contrasena de la tarjeta de debito como puedo hacer,necesito cambiar la contrasena de la tarjeta de debito como lo puedo hacer
como se genera un debin por home banking,Cat_54,cómo se genera una deuda bancaria doméstica,como se genera un debin por home banking,como se genera una deuda bancaria domestica
cual seria la tasa para comprar un terreno?,Cat_258,¿Cuál sería la tasa para comprar un terreno?,cual seria la tasa para comprar un terreno,cual seria la tasa para comprar un terreno
tengo cuenta en otro banco es posible pagar la visa de santander?,Cat_342,"Tengo una cuenta en otro banco, ¿es posible pagar la visa Santander?",tengo cuenta en otro banco es posible pagar la visa de santander,tengo una cuenta en otro banco es posible pagar la visa santander
saque mi cuenta platinium bonificada y veo que en mi cuenta corriente me están cobrando mantenimiento,Cat_90,Saque mi cuenta de platino de bonificación y veo que mi cuenta corriente me está cobrando mantenimiento,saque mi cuenta platinium bonificada y veo que en mi cuenta corriente me estan cobrando mantenimiento,saque mi cuenta de platino de bonificacion y veo que mi cuenta corriente me esta cobrando mantenimiento
retirar tarjeta american expres,Cat_293,retirar la tarjeta American Express,retirar tarjeta american expres,retirar la tarjeta american express
quisiera saber el num de denuncias para el seguro de hogar,Cat_265,Me gustaría saber la cantidad de quejas por seguro de hogar,quisiera saber el num de denuncias para el seguro de hogar,me gustaria saber la cantidad de quejas por seguro de hogar
quiero saber si puedo acceder a un credito yo tengo cuenta sueldo..,Cat_248,Quiero saber si puedo acceder a un crédito. Tengo una cuenta salarial.,quiero saber si puedo acceder a un credito yo tengo cuenta sueldo,quiero saber si puedo acceder a un credito tengo una cuenta salarial
como se usa la de debito en el exterior?,Cat_289,¿Cómo se usa el débito en el extranjero?,como se usa la de debito en el exterior,como se usa el debito en el extranjero
como hacer tranferencia,Cat_84,como transferir,como hacer tranferencia,como transferir
puedo activar el descubierto por telefono?,Cat_57,¿Puedo activar el sobregiro por teléfono?,puedo activar el descubierto por telefono,puedo activar el sobregiro por telefono
algún número para hablar con un representante?,Cat_147,Cualquier número para hablar con un representante?,algun numero para hablar con un representante,cualquier numero para hablar con un representante
puedo recibir transferencias del exterior en mi cuenta?,Cat_32,¿Puedo recibir transferencias desde el extranjero en mi cuenta?,puedo recibir transferencias del exterior en mi cuenta,puedo recibir transferencias desde el extranjero en mi cuenta
para informarme sobre el super prestamo prendario,Cat_225,para informarme sobre el préstamo súper colateral,para informarme sobre el super prestamo prendario,para informarme sobre el prestamo super colateral
no me enviaron ni la tarjeta de credito ni la de debito y me estan cobrando,Cat_293,No me enviaron ni la tarjeta de crédito ni la de débito y me están cobrando,no me enviaron ni la tarjeta de credito ni la de debito y me estan cobrando,no me enviaron ni la tarjeta de credito ni la de debito y me estan cobrando
puedo pedir un pre acordado un sábado o domingo?,Cat_223,¿Puedo pedir uno previamente organizado el sábado o domingo?,puedo pedir un pre acordado un sabado o domingo,puedo pedir uno previamente organizado el sabado o domingo
cancelar cuotas tarjeta de credito visa,Cat_339,cancelar tarifas visa de tarjeta de crédito,cancelar cuotas tarjeta de credito visa,cancelar tarifas visa de tarjeta de credito
quiero ver mis letes,Cat_188,Quiero ver mi leche,quiero ver mis letes,quiero ver mi leche
saber pagar total tarjeta,Cat_342,saber cómo pagar la tarjeta total,saber pagar total tarjeta,saber como pagar la tarjeta total
condiciones prestamos,Cat_225,condiciones de préstamos,condiciones prestamos,condiciones de prestamos
hoy nuevamente trate de generar mi nueva clave  y todvia aparece el numero errado,Cat_1,hoy nuevamente intento generar mi nueva contraseña y aún aparece el número incorrecto,hoy nuevamente trate de generar mi nueva clave y todvia aparece el numero errado,hoy nuevamente intento generar mi nueva contrasena y aun aparece el numero incorrecto
donde puedo sacar dinero por extracash,Cat_296,donde puedo obtener dinero para extracash,donde puedo sacar dinero por extracash,donde puedo obtener dinero para extracash
quiero ver mis extracciones,Cat_50,Quiero ver mis extracciones,quiero ver mis extracciones,quiero ver mis extracciones
quiero abrir una cuenta de ahorro,Cat_39,Quiero abrir una cuenta de ahorro,quiero abrir una cuenta de ahorro,quiero abrir una cuenta de ahorro
agendar una fecha de pago,Cat_191,programar una fecha de pago,agendar una fecha de pago,programar una fecha de pago
los domingos puedo llamar a un 0800?,Cat_147,los domingos puedo llamar al 0800?,los domingos puedo llamar a un number,los domingos puedo llamar al number
pagar monotributo online banking,Cat_129,pagar banca en línea con un solo impuesto,pagar monotributo online banking,pagar banca en linea con un solo impuesto
malisima la atención por este medio solo queria dejarles en claro eso?,Cat_25,¿muy mala atención por la presente solo quería aclararlo?,malisima la atencion por este medio solo queria dejarles en claro eso,muy mala atencion por la presente solo queria aclararlo
deposite y no se acreditó hasta el día de hoy,Cat_109,Depósito y no fue acreditado hasta hoy,deposite y no se acredito hasta el dia de hoy,deposito y no fue acreditado hasta hoy
queria consultar tarjeta debitar sucursal,Cat_293,Quería ver una tarjeta de débito,queria consultar tarjeta debitar sucursal,queria ver una tarjeta de debito
yo queria vender un bono de dica que tengo en la cuenta,Cat_163,Quería vender un bono de dica que tengo en mi cuenta,yo queria vender un bono de dica que tengo en la cuenta,queria vender un bono de dica que tengo en mi cuenta
necesito vender acciones,Cat_154,necesito vender acciones,necesito vender acciones,necesito vender acciones
olvide mi clave en cajero automatico como la puede reestablecer??,Cat_288,"Olvidé mi contraseña en el cajero automático, ¿cómo puedo restablecerla?",olvide mi clave en cajero automatico como la puede reestablecer,olvide mi contrasena en el cajero automatico como puedo restablecerla
habilitar cargar virtual sube,Cat_132,habilitar cargas de carga virtual,habilitar cargar virtual sube,habilitar cargas de carga virtual
para comprar un auto,Cat_228,comprar un auto,para comprar un auto,comprar un auto
a quien le puedo reclamar por un premio que todavía no mandaron a mi casa,Cat_326,¿A quién puedo reclamar para un premio que aún no ha sido enviado a mi casa?,a quien le puedo reclamar por un premio que todavia no mandaron a mi casa,a quien puedo reclamar para un premio que aun no ha sido enviado a mi casa
consultar limite tarjeta,Cat_303,verificar tarjeta de límite,consultar limite tarjeta,verificar tarjeta de limite
que restaurantes estan adherido al descuento del % en la ciudad de cordoba,Cat_311,qué restaurantes están sujetos al% de descuento en la ciudad de córdoba,que restaurantes estan adherido al descuento del en la ciudad de cordoba,que restaurantes estan sujetos al de descuento en la ciudad de cordoba
querer obtener clave reconocer,Cat_1,querer obtener clave reconocer,querer obtener clave reconocer,querer obtener clave reconocer
no recuerdo mi clave de cajero automatico,Cat_288,No recuerdo mi contraseña de cajero automático,no recuerdo mi clave de cajero automatico,no recuerdo mi contrasena de cajero automatico
como gestiono un prestamo personal?,Cat_223,¿Cómo administro un préstamo personal?,como gestiono un prestamo personal,como administro un prestamo personal
me duplicaron el cobro de la comisión por mantenimiento,Cat_97,Dupliqué la tarifa de mantenimiento,me duplicaron el cobro de la comision por mantenimiento,duplique la tarifa de mantenimiento
la tarjeta tiene incorporadala membresia de american airlines advantage . y quiero dar de baja esa membresia,Cat_299,La tarjeta incorpora membresía de ventaja de American Airlines. y quiero cancelar esa membresía,la tarjeta tiene incorporadala membresia de american airlines advantage y quiero dar de baja esa membresia,la tarjeta incorpora membresia de ventaja de american airlines y quiero cancelar esa membresia
si sumo ingresos con mi mujer. el limite de la cuota es la suma de ambas?,Cat_251,si agrego ingresos con mi esposa. El límite de la cuota es la suma de ambos?,si sumo ingresos con mi mujer el limite de la cuota es la suma de ambas,si agrego ingresos con mi esposa el limite de la cuota es la suma de ambos
si deposito ahora se vera reflejado en el momento?,Cat_109,"Si deposito ahora, ¿se reflejará en el momento?",si deposito ahora se vera reflejado en el momento,si deposito ahora se reflejara en el momento
que necesito para incluir la clausula de no repeticion?,Cat_268,¿Qué necesito para incluir la cláusula de no repetición?,que necesito para incluir la clausula de no repeticion,que necesito para incluir la clausula de no repeticion
necesito número atención cliente,Cat_147,Necesito numero de servicio al cliente,necesito numero atencion cliente,necesito numero de servicio al cliente
duplico pago visa,Cat_350,pago de doble visa,duplico pago visa,pago de doble visa
necesitar consultar estado cuenta,Cat_61,necesita verificar el estado de la cuenta,necesitar consultar estado cuenta,necesita verificar el estado de la cuenta
quiero simular un credito para comprar auto,Cat_251,Quiero simular un crédito para comprar un auto,quiero simular un credito para comprar auto,quiero simular un credito para comprar un auto
tengo adherido el pago del celular en mi amex y en el último resumen no aparecía mi pago,Cat_129,Tengo el pago del teléfono celular adjunto a mi amex y en el último resumen no apareció mi pago,tengo adherido el pago del celular en mi amex y en el ultimo resumen no aparecia mi pago,tengo el pago del telefono celular adjunto a mi amex y en el ultimo resumen no aparecio mi pago
consulta se puede comprar hoy todavia lebac,Cat_156,consulta usted todavía puede comprar hoy lebac,consulta se puede comprar hoy todavia lebac,consulta usted todavia puede comprar hoy lebac
quiero saber sobre la cuenta ahorro de santander rio!,Cat_39,¡Quiero saber sobre la cuenta de ahorros Santander Rio!,quiero saber sobre la cuenta ahorro de santander rio,quiero saber sobre la cuenta de ahorros santander rio
como hago para anular una compra que acabo de hacer?,Cat_281,¿Cómo puedo cancelar una compra que acabo de hacer?,como hago para anular una compra que acabo de hacer,como puedo cancelar una compra que acabo de hacer
con un neto de hasta cuanto puedo obtener de prestamo?,Cat_251,con una red de hasta cuánto puedo obtener un préstamo?,con un neto de hasta cuanto puedo obtener de prestamo,con una red de hasta cuanto puedo obtener un prestamo
no soy cliente y quiero solicitar un prestamo,Cat_248,No soy cliente y quiero solicitar un préstamo,no soy cliente y quiero solicitar un prestamo,no soy cliente y quiero solicitar un prestamo
donde hago la simulación de ccredito procrear,Cat_251,¿Dónde simulo procreación de crédito?,donde hago la simulacion de ccredito procrear,donde simulo procreacion de credito
